model_name,rmsd
afm_dropout_full_woTemplates_r3_model_4_multimer_v2_pred_42.pdb,32.313
afm_dropout_full_woTemplates_r3_model_4_multimer_v2_pred_2.pdb,32.292
afm_dropout_full_woTemplates_model_4_multimer_v2_pred_65.pdb,32.2
afm_dropout_noSM_woTemplates_model_4_multimer_v2_pred_57.pdb,32.177
afm_dropout_full_woTemplates_r3_model_3_multimer_v2_pred_59.pdb,32.173
afm_dropout_full_woTemplates_r3_model_3_multimer_v2_pred_6.pdb,32.163
afm_dropout_full_woTemplates_r3_model_3_multimer_v2_pred_3.pdb,32.141
afm_dropout_full_model_4_multimer_v2_pred_44.pdb,32.132
afm_dropout_full_woTemplates_r3_model_4_multimer_v2_pred_22.pdb,32.122
afm_dropout_full_model_3_multimer_v2_pred_66.pdb,32.114
afm_dropout_noSM_woTemplates_model_4_multimer_v1_pred_60.pdb,32.003
afm_dropout_noSM_woTemplates_model_4_multimer_v1_pred_66.pdb,31.691
afm_dropout_full_woTemplates_model_4_multimer_v1_pred_28.pdb,31.68
afm_dropout_full_woTemplates_model_4_multimer_v1_pred_45.pdb,31.662
afm_dropout_full_woTemplates_r3_model_1_multimer_v2_pred_37.pdb,31.575
afm_dropout_full_model_4_multimer_v1_pred_31.pdb,31.549
afm_dropout_full_woTemplates_model_4_multimer_v1_pred_58.pdb,31.539
afm_dropout_full_woTemplates_model_4_multimer_v1_pred_56.pdb,31.438
afm_dropout_full_woTemplates_model_4_multimer_v1_pred_23.pdb,31.434
afm_dropout_noSM_woTemplates_model_4_multimer_v1_pred_37.pdb,31.306
afm_dropout_full_model_4_multimer_v1_pred_27.pdb,31.217
afm_dropout_noSM_woTemplates_model_4_multimer_v1_pred_20.pdb,31.141
afm_dropout_full_woTemplates_r3_model_4_multimer_v1_pred_25.pdb,30.957
afm_dropout_full_woTemplates_model_4_multimer_v1_pred_39.pdb,30.703
afm_dropout_full_woTemplates_r3_model_4_multimer_v1_pred_3.pdb,30.594
afm_dropout_noSM_woTemplates_model_5_multimer_v3_pred_15.pdb,30.576
afm_dropout_full_woTemplates_r3_model_4_multimer_v1_pred_59.pdb,30.485
afm_dropout_noSM_woTemplates_model_4_multimer_v1_pred_54.pdb,30.462
afm_dropout_full_woTemplates_model_4_multimer_v1_pred_57.pdb,30.348
afm_dropout_full_woTemplates_r3_model_4_multimer_v1_pred_19.pdb,30.192
afm_dropout_full_woTemplates_r3_model_4_multimer_v1_pred_5.pdb,30.051
afm_dropout_full_woTemplates_r3_model_4_multimer_v1_pred_4.pdb,29.716
afm_dropout_full_woTemplates_model_4_multimer_v1_pred_7.pdb,29.631
afm_dropout_full_woTemplates_model_4_multimer_v1_pred_61.pdb,29.548
afm_dropout_full_woTemplates_r3_model_4_multimer_v1_pred_46.pdb,29.484
afm_dropout_full_woTemplates_r3_model_4_multimer_v1_pred_15.pdb,29.477
afm_dropout_full_woTemplates_r3_model_3_multimer_v1_pred_31.pdb,29.385
afm_dropout_full_woTemplates_r3_model_4_multimer_v1_pred_13.pdb,29.327
afm_dropout_full_woTemplates_r3_model_4_multimer_v1_pred_60.pdb,29.027
afm_dropout_full_woTemplates_r3_model_3_multimer_v1_pred_35.pdb,28.758
afm_dropout_full_woTemplates_r3_model_5_multimer_v2_pred_58.pdb,28.757
afm_dropout_full_woTemplates_r3_model_2_multimer_v1_pred_23.pdb,28.655
afm_dropout_full_woTemplates_r3_model_4_multimer_v1_pred_58.pdb,28.631
afm_dropout_full_woTemplates_r3_model_2_multimer_v1_pred_34.pdb,28.512
afm_dropout_full_woTemplates_r3_model_4_multimer_v1_pred_33.pdb,28.056
afm_dropout_full_woTemplates_r3_model_4_multimer_v2_pred_50.pdb,27.999
afm_dropout_full_woTemplates_r3_model_5_multimer_v1_pred_64.pdb,27.871
afm_dropout_full_woTemplates_r3_model_2_multimer_v1_pred_29.pdb,27.867
afm_dropout_full_woTemplates_r3_model_2_multimer_v1_pred_56.pdb,27.699
afm_dropout_full_woTemplates_r3_model_3_multimer_v1_pred_58.pdb,27.609
afm_dropout_full_woTemplates_r3_model_4_multimer_v1_pred_14.pdb,27.403
afm_dropout_full_woTemplates_r3_model_5_multimer_v1_pred_20.pdb,27.29
afm_dropout_full_woTemplates_r3_model_4_multimer_v1_pred_56.pdb,27.182
afm_dropout_full_woTemplates_r3_model_5_multimer_v1_pred_43.pdb,26.891
afm_dropout_full_woTemplates_r3_model_3_multimer_v1_pred_60.pdb,26.701
afm_dropout_full_woTemplates_r3_model_4_multimer_v1_pred_31.pdb,26.667
afm_dropout_full_woTemplates_r3_model_4_multimer_v1_pred_18.pdb,26.606
afm_dropout_full_woTemplates_r3_model_4_multimer_v1_pred_36.pdb,26.552
afm_dropout_full_woTemplates_r3_model_4_multimer_v1_pred_55.pdb,26.471
afm_dropout_full_woTemplates_r3_model_5_multimer_v1_pred_59.pdb,26.333
afm_dropout_full_woTemplates_r3_model_4_multimer_v1_pred_20.pdb,26.305
afm_dropout_full_woTemplates_r3_model_5_multimer_v1_pred_46.pdb,25.788
afm_dropout_full_woTemplates_r3_model_4_multimer_v1_pred_32.pdb,25.653
afm_dropout_full_woTemplates_r3_model_4_multimer_v1_pred_41.pdb,25.603
afm_dropout_full_woTemplates_r3_model_2_multimer_v1_pred_52.pdb,25.492
afm_dropout_full_woTemplates_r3_model_3_multimer_v1_pred_64.pdb,25.449
afm_dropout_full_woTemplates_r3_model_4_multimer_v1_pred_66.pdb,25.019
afm_dropout_full_woTemplates_model_4_multimer_v1_pred_21.pdb,24.913
afm_dropout_full_woTemplates_r3_model_4_multimer_v1_pred_35.pdb,24.907
afm_dropout_full_woTemplates_r3_model_4_multimer_v1_pred_42.pdb,24.859
afm_dropout_full_woTemplates_r3_model_4_multimer_v1_pred_65.pdb,24.846
afm_dropout_full_woTemplates_r3_model_3_multimer_v1_pred_7.pdb,24.832
afm_dropout_full_woTemplates_r3_model_4_multimer_v1_pred_43.pdb,24.804
afm_dropout_full_woTemplates_r3_model_4_multimer_v1_pred_16.pdb,24.649
