model_name,ics
cf_woTemplates_model_4_multimer_v3_pred_7.pdb,0.915
cf_woTemplates_model_4_multimer_v3_pred_45.pdb,0.911
cf_woTemplates_model_4_multimer_v3_pred_48.pdb,0.911
cf_woTemplates_model_4_multimer_v3_pred_25.pdb,0.91
cf_woTemplates_model_4_multimer_v3_pred_44.pdb,0.906
cf_woTemplates_model_4_multimer_v3_pred_33.pdb,0.906
afm_basic_model_2_multimer_v2_pred_23.pdb,0.893
afm_dropout_noSM_woTemplates_model_2_multimer_v1_pred_17.pdb,0.847
afm_dropout_full_woTemplates_model_2_multimer_v1_pred_43.pdb,0.833
afm_dropout_full_model_2_multimer_v1_pred_62.pdb,0.825
afm_basic_model_2_multimer_v1_pred_55.pdb,0.822
afm_dropout_full_woTemplates_model_2_multimer_v1_pred_62.pdb,0.815
afm_basic_model_2_multimer_v2_pred_0.pdb,0.804
afm_dropout_noSM_woTemplates_model_2_multimer_v1_pred_19.pdb,0.802
afm_dropout_full_woTemplates_model_2_multimer_v1_pred_7.pdb,0.799
afm_dropout_full_woTemplates_model_2_multimer_v1_pred_2.pdb,0.797
cf_woTemplates_model_4_multimer_v3_pred_62.pdb,0.797
afm_dropout_full_woTemplates_model_4_multimer_v3_pred_62.pdb,0.791
afm_dropout_full_model_4_multimer_v3_pred_8.pdb,0.791
afm_dropout_full_woTemplates_model_4_multimer_v3_pred_10.pdb,0.79
afm_basic_model_2_multimer_v2_pred_63.pdb,0.788
afm_basic_model_2_multimer_v1_pred_57.pdb,0.788
afm_dropout_full_woTemplates_model_4_multimer_v3_pred_64.pdb,0.786
afm_woTemplates_model_4_multimer_v3_pred_37.pdb,0.786
afm_basic_model_3_multimer_v1_pred_9.pdb,0.786
afm_dropout_full_woTemplates_model_5_multimer_v1_pred_0.pdb,0.785
afm_basic_model_2_multimer_v2_pred_12.pdb,0.784
afm_dropout_full_model_4_multimer_v3_pred_60.pdb,0.783
afm_dropout_full_woTemplates_model_4_multimer_v3_pred_11.pdb,0.783
afm_dropout_full_model_4_multimer_v3_pred_4.pdb,0.782
afm_basic_model_4_multimer_v2_pred_48.pdb,0.782
afm_dropout_noSM_woTemplates_model_4_multimer_v3_pred_27.pdb,0.782
afm_woTemplates_model_2_multimer_v2_pred_35.pdb,0.782
cf_woTemplates_model_4_multimer_v3_pred_11.pdb,0.78
afm_basic_model_4_multimer_v3_pred_60.pdb,0.779
afm_woTemplates_model_2_multimer_v2_pred_56.pdb,0.778
afm_dropout_full_woTemplates_model_4_multimer_v3_pred_43.pdb,0.778
afm_basic_model_4_multimer_v3_pred_32.pdb,0.778
afm_basic_model_4_multimer_v3_pred_5.pdb,0.778
afm_woTemplates_model_4_multimer_v3_pred_15.pdb,0.777
cf_woTemplates_model_4_multimer_v3_pred_14.pdb,0.777
afm_dropout_full_model_5_multimer_v3_pred_11.pdb,0.777
afm_woTemplates_model_1_multimer_v3_pred_19.pdb,0.776
afm_basic_model_2_multimer_v1_pred_28.pdb,0.775
afm_basic_model_1_multimer_v3_pred_51.pdb,0.775
afm_woTemplates_model_1_multimer_v3_pred_15.pdb,0.775
afm_basic_model_4_multimer_v3_pred_44.pdb,0.774
afm_woTemplates_model_4_multimer_v3_pred_22.pdb,0.774
