model_name,ilddt
cf_woTemplates_model_4_multimer_v3_pred_48.pdb,0.88
cf_woTemplates_model_4_multimer_v3_pred_45.pdb,0.879
cf_woTemplates_model_4_multimer_v3_pred_33.pdb,0.877
cf_woTemplates_model_4_multimer_v3_pred_44.pdb,0.876
cf_woTemplates_model_4_multimer_v3_pred_7.pdb,0.875
afm_basic_model_2_multimer_v2_pred_23.pdb,0.853
cf_woTemplates_model_4_multimer_v3_pred_25.pdb,0.846
afm_basic_model_2_multimer_v2_pred_5.pdb,0.771
afm_woTemplates_model_2_multimer_v2_pred_25.pdb,0.771
afm_basic_model_2_multimer_v2_pred_36.pdb,0.767
afm_basic_model_4_multimer_v3_pred_11.pdb,0.767
afm_woTemplates_model_2_multimer_v2_pred_57.pdb,0.766
afm_basic_model_2_multimer_v2_pred_4.pdb,0.765
cf_woTemplates_model_2_multimer_v2_pred_10.pdb,0.765
cf_woTemplates_model_4_multimer_v3_pred_17.pdb,0.765
afm_woTemplates_model_2_multimer_v2_pred_23.pdb,0.763
afm_woTemplates_model_2_multimer_v2_pred_32.pdb,0.759
cf_woTemplates_model_4_multimer_v3_pred_61.pdb,0.758
cf_woTemplates_model_2_multimer_v2_pred_55.pdb,0.756
cf_woTemplates_model_4_multimer_v3_pred_10.pdb,0.756
cf_woTemplates_model_4_multimer_v3_pred_57.pdb,0.755
cf_woTemplates_model_1_multimer_v2_pred_35.pdb,0.747
cf_woTemplates_model_2_multimer_v2_pred_25.pdb,0.744
cf_woTemplates_model_2_multimer_v2_pred_53.pdb,0.739
afm_basic_model_2_multimer_v2_pred_54.pdb,0.738
cf_woTemplates_model_2_multimer_v2_pred_37.pdb,0.736
afm_basic_model_2_multimer_v2_pred_53.pdb,0.733
afm_basic_model_4_multimer_v3_pred_34.pdb,0.731
afm_woTemplates_model_2_multimer_v2_pred_53.pdb,0.729
afm_woTemplates_model_2_multimer_v2_pred_22.pdb,0.713
cf_woTemplates_model_2_multimer_v2_pred_46.pdb,0.713
afm_woTemplates_model_2_multimer_v2_pred_10.pdb,0.712
afm_basic_model_1_multimer_v3_pred_63.pdb,0.712
afm_basic_model_2_multimer_v2_pred_45.pdb,0.711
afm_woTemplates_model_2_multimer_v2_pred_34.pdb,0.71
afm_basic_model_2_multimer_v2_pred_51.pdb,0.709
afm_basic_model_2_multimer_v2_pred_17.pdb,0.706
afm_basic_model_2_multimer_v2_pred_18.pdb,0.704
afm_woTemplates_model_2_multimer_v2_pred_12.pdb,0.704
afm_basic_model_2_multimer_v2_pred_64.pdb,0.704
afm_basic_model_2_multimer_v2_pred_7.pdb,0.703
afm_basic_model_2_multimer_v2_pred_42.pdb,0.703
afm_basic_model_4_multimer_v3_pred_56.pdb,0.702
afm_woTemplates_model_2_multimer_v2_pred_59.pdb,0.7
afm_dropout_full_model_2_multimer_v2_pred_9.pdb,0.698
cf_woTemplates_model_2_multimer_v2_pred_44.pdb,0.697
cf_woTemplates_model_4_multimer_v3_pred_62.pdb,0.696
afm_basic_model_2_multimer_v2_pred_62.pdb,0.696
afm_basic_model_4_multimer_v3_pred_9.pdb,0.696
cf_woTemplates_model_4_multimer_v3_pred_11.pdb,0.695
afm_basic_model_4_multimer_v3_pred_66.pdb,0.694
afm_woTemplates_model_5_multimer_v3_pred_17.pdb,0.694
afm_basic_model_1_multimer_v3_pred_45.pdb,0.693
afm_woTemplates_model_5_multimer_v3_pred_44.pdb,0.693
afm_basic_model_1_multimer_v3_pred_52.pdb,0.692
cf_woTemplates_model_2_multimer_v2_pred_34.pdb,0.692
afm_dropout_full_woTemplates_model_2_multimer_v2_pred_63.pdb,0.692
afm_basic_model_2_multimer_v2_pred_48.pdb,0.692
afm_dropout_full_model_4_multimer_v3_pred_8.pdb,0.692
