model_name,oligo_gdtha
afm_dropout_full_model_3_ptm_pred_140.pdb,0.523
afm_dropout_noSM_woTemplates_model_3_ptm_pred_164.pdb,0.523
afm_dropout_noSM_woTemplates_model_3_ptm_pred_167.pdb,0.523
afm_dropout_full_model_3_ptm_pred_55.pdb,0.523
afm_dropout_noSM_woTemplates_model_3_ptm_pred_129.pdb,0.523
afm_dropout_full_model_3_ptm_pred_194.pdb,0.52
afm_dropout_full_woTemplates_model_3_ptm_pred_139.pdb,0.52
afm_dropout_noSM_woTemplates_model_3_ptm_pred_153.pdb,0.52
afm_dropout_full_model_3_ptm_pred_82.pdb,0.52
afm_dropout_full_woTemplates_model_3_ptm_pred_53.pdb,0.52
afm_dropout_full_woTemplates_model_3_ptm_pred_120.pdb,0.52
afm_dropout_noSM_woTemplates_model_3_ptm_pred_155.pdb,0.52
afm_dropout_full_woTemplates_model_1_ptm_pred_2.pdb,0.52
afm_dropout_full_woTemplates_model_3_ptm_pred_138.pdb,0.52
afm_dropout_noSM_woTemplates_model_3_ptm_pred_4.pdb,0.52
afm_dropout_noSM_woTemplates_model_3_ptm_pred_7.pdb,0.52
afm_dropout_full_woTemplates_model_3_ptm_pred_113.pdb,0.52
afm_dropout_noSM_woTemplates_model_3_ptm_pred_143.pdb,0.52
afm_dropout_full_woTemplates_model_3_ptm_pred_170.pdb,0.52
afm_dropout_noSM_woTemplates_model_3_ptm_pred_172.pdb,0.52
afm_dropout_full_model_3_ptm_pred_103.pdb,0.52
afm_dropout_noSM_woTemplates_model_3_ptm_pred_94.pdb,0.52
afm_basic_model_3_ptm_pred_159.pdb,0.52
afm_dropout_full_woTemplates_model_3_ptm_pred_94.pdb,0.52
afm_dropout_full_model_3_ptm_pred_113.pdb,0.52
afm_dropout_full_model_3_ptm_pred_12.pdb,0.52
afm_dropout_noSM_woTemplates_model_3_ptm_pred_53.pdb,0.518
afm_dropout_full_model_3_ptm_pred_138.pdb,0.518
afm_woTemplates_model_3_ptm_pred_69.pdb,0.518
afm_dropout_noSM_woTemplates_model_3_ptm_pred_37.pdb,0.518
afm_dropout_noSM_woTemplates_model_3_ptm_pred_56.pdb,0.518
afm_dropout_noSM_woTemplates_model_3_ptm_pred_64.pdb,0.518
afm_dropout_full_woTemplates_model_3_ptm_pred_61.pdb,0.518
afm_dropout_full_model_3_ptm_pred_127.pdb,0.518
afm_dropout_noSM_woTemplates_model_3_ptm_pred_173.pdb,0.518
afm_dropout_full_woTemplates_model_3_ptm_pred_137.pdb,0.518
afm_dropout_noSM_woTemplates_model_3_ptm_pred_51.pdb,0.518
afm_dropout_full_model_3_ptm_pred_75.pdb,0.518
afm_dropout_full_woTemplates_model_4_ptm_pred_44.pdb,0.518
afm_dropout_full_woTemplates_model_3_ptm_pred_199.pdb,0.518
