model_name,dockq_wave
afm_woTemplates_model_1_multimer_v3_pred_5.pdb,0.397
afm_woTemplates_model_1_multimer_v3_pred_7.pdb,0.356
cf_woTemplates_model_4_multimer_v3_pred_4.pdb,0.327
cf_woTemplates_model_4_multimer_v3_pred_2.pdb,0.324
afm_woTemplates_model_1_multimer_v2_pred_2.pdb,0.315
cf_woTemplates_model_1_multimer_v2_pred_9.pdb,0.311
cf_woTemplates_model_1_multimer_v2_pred_2.pdb,0.31
cf_woTemplates_model_1_multimer_v2_pred_10.pdb,0.305
cf_woTemplates_model_1_multimer_v2_pred_8.pdb,0.305
afm_woTemplates_model_1_multimer_v2_pred_5.pdb,0.302
afm_woTemplates_model_1_multimer_v2_pred_9.pdb,0.301
cf_woTemplates_model_1_multimer_v2_pred_13.pdb,0.301
cf_woTemplates_model_5_multimer_v3_pred_8.pdb,0.3
cf_woTemplates_model_1_multimer_v2_pred_15.pdb,0.3
cf_woTemplates_model_1_multimer_v2_pred_7.pdb,0.299
afm_woTemplates_model_1_multimer_v2_pred_3.pdb,0.298
cf_woTemplates_model_1_multimer_v2_pred_3.pdb,0.295
cf_woTemplates_model_1_multimer_v2_pred_4.pdb,0.295
afm_woTemplates_model_1_multimer_v2_pred_7.pdb,0.294
cf_woTemplates_model_1_multimer_v2_pred_0.pdb,0.293
afm_woTemplates_model_1_multimer_v2_pred_15.pdb,0.293
afm_woTemplates_model_1_multimer_v3_pred_15.pdb,0.293
cf_dropout_full_woTemplates_model_1_multimer_v2_pred_12.pdb,0.292
cf_woTemplates_model_1_multimer_v2_pred_5.pdb,0.292
afm_dropout_full_woTemplates_model_5_multimer_v3_pred_16.pdb,0.29
cf_dropout_full_woTemplates_model_1_multimer_v2_pred_4.pdb,0.29
cf_woTemplates_model_1_multimer_v2_pred_12.pdb,0.29
cf_dropout_full_woTemplates_model_1_multimer_v2_pred_11.pdb,0.29
afm_woTemplates_model_1_multimer_v2_pred_11.pdb,0.289
afm_woTemplates_model_1_multimer_v2_pred_6.pdb,0.288
cf_dropout_full_woTemplates_model_1_multimer_v2_pred_7.pdb,0.288
cf_woTemplates_model_1_multimer_v2_pred_11.pdb,0.286
afm_dropout_full_woTemplates_model_1_multimer_v2_pred_14.pdb,0.286
afm_woTemplates_model_4_multimer_v3_pred_6.pdb,0.286
afm_woTemplates_model_2_multimer_v2_pred_15.pdb,0.285
afm_woTemplates_model_1_multimer_v2_pred_0.pdb,0.285
afm_woTemplates_model_1_multimer_v2_pred_1.pdb,0.285
afm_dropout_full_woTemplates_model_1_multimer_v2_pred_5.pdb,0.284
cf_woTemplates_model_4_multimer_v3_pred_15.pdb,0.284
afm_woTemplates_model_1_multimer_v2_pred_12.pdb,0.283
cf_dropout_full_woTemplates_model_1_multimer_v2_pred_0.pdb,0.281
afm_woTemplates_model_1_multimer_v2_pred_13.pdb,0.281
afm_dropout_noSM_woTemplates_model_1_multimer_v2_pred_16.pdb,0.281
cf_dropout_full_woTemplates_model_1_multimer_v2_pred_6.pdb,0.281
cf_woTemplates_model_5_multimer_v3_pred_2.pdb,0.279
afm_woTemplates_model_1_multimer_v2_pred_14.pdb,0.279
cf_dropout_full_woTemplates_model_1_multimer_v2_pred_2.pdb,0.278
cf_dropout_full_woTemplates_model_1_multimer_v2_pred_1.pdb,0.278
afm_woTemplates_model_4_multimer_v3_pred_10.pdb,0.275
afm_woTemplates_model_1_multimer_v3_pred_11.pdb,0.275
afm_woTemplates_model_4_multimer_v3_pred_7.pdb,0.274
afm_dropout_full_woTemplates_model_1_multimer_v3_pred_6.pdb,0.274
afm_woTemplates_model_1_multimer_v2_pred_4.pdb,0.273
afm_woTemplates_model_1_multimer_v2_pred_10.pdb,0.272
afm_dropout_noSM_woTemplates_model_1_multimer_v2_pred_4.pdb,0.272
cf_dropout_full_woTemplates_model_1_multimer_v2_pred_9.pdb,0.272
afm_woTemplates_model_1_multimer_v2_pred_16.pdb,0.272
afm_woTemplates_model_4_multimer_v3_pred_1.pdb,0.271
afm_dropout_full_woTemplates_model_1_multimer_v2_pred_10.pdb,0.271
cf_woTemplates_model_4_multimer_v3_pred_8.pdb,0.271
afm_woTemplates_model_1_multimer_v3_pred_12.pdb,0.271
afm_dropout_noSM_woTemplates_model_1_multimer_v2_pred_12.pdb,0.269
afm_dropout_full_woTemplates_model_1_multimer_v2_pred_6.pdb,0.269
afm_dropout_noSM_woTemplates_model_1_multimer_v2_pred_11.pdb,0.269
afm_dropout_full_woTemplates_r3_model_3_multimer_v3_pred_12.pdb,0.268
cf_woTemplates_model_5_multimer_v3_pred_5.pdb,0.267
cf_dropout_full_woTemplates_model_1_multimer_v2_pred_15.pdb,0.266
afm_dropout_full_woTemplates_model_1_multimer_v2_pred_13.pdb,0.266
cf_dropout_full_woTemplates_model_1_multimer_v2_pred_3.pdb,0.265
afm_dropout_full_woTemplates_model_5_multimer_v3_pred_11.pdb,0.264
