model_name,ics
afm_woTemplates_model_1_multimer_v3_pred_5.pdb,0.462
afm_woTemplates_model_1_multimer_v3_pred_7.pdb,0.444
afm_woTemplates_model_1_multimer_v2_pred_2.pdb,0.44
afm_woTemplates_model_1_multimer_v2_pred_7.pdb,0.436
cf_woTemplates_model_1_multimer_v2_pred_4.pdb,0.427
cf_woTemplates_model_1_multimer_v2_pred_10.pdb,0.426
afm_woTemplates_model_1_multimer_v2_pred_3.pdb,0.426
cf_woTemplates_model_1_multimer_v2_pred_15.pdb,0.426
cf_woTemplates_model_1_multimer_v2_pred_11.pdb,0.422
afm_woTemplates_model_1_multimer_v2_pred_5.pdb,0.422
afm_woTemplates_model_1_multimer_v2_pred_13.pdb,0.422
cf_woTemplates_model_1_multimer_v2_pred_7.pdb,0.421
afm_woTemplates_model_1_multimer_v2_pred_0.pdb,0.42
afm_woTemplates_model_1_multimer_v2_pred_9.pdb,0.419
cf_woTemplates_model_1_multimer_v2_pred_2.pdb,0.418
cf_woTemplates_model_1_multimer_v2_pred_9.pdb,0.417
afm_woTemplates_model_1_multimer_v2_pred_6.pdb,0.415
afm_woTemplates_model_1_multimer_v2_pred_14.pdb,0.415
afm_woTemplates_model_1_multimer_v2_pred_15.pdb,0.414
cf_woTemplates_model_1_multimer_v2_pred_8.pdb,0.414
cf_woTemplates_model_1_multimer_v2_pred_13.pdb,0.413
afm_woTemplates_model_1_multimer_v2_pred_11.pdb,0.412
cf_woTemplates_model_1_multimer_v2_pred_5.pdb,0.409
cf_woTemplates_model_1_multimer_v2_pred_3.pdb,0.408
cf_woTemplates_model_4_multimer_v3_pred_4.pdb,0.407
afm_woTemplates_model_1_multimer_v2_pred_1.pdb,0.407
afm_dropout_full_woTemplates_model_1_multimer_v2_pred_14.pdb,0.406
afm_woTemplates_model_1_multimer_v2_pred_16.pdb,0.406
afm_woTemplates_model_1_multimer_v2_pred_4.pdb,0.404
cf_woTemplates_model_1_multimer_v2_pred_0.pdb,0.4
cf_dropout_full_woTemplates_model_1_multimer_v2_pred_12.pdb,0.397
cf_dropout_full_woTemplates_model_1_multimer_v2_pred_7.pdb,0.396
cf_dropout_full_woTemplates_model_1_multimer_v2_pred_4.pdb,0.394
afm_dropout_noSM_woTemplates_model_1_multimer_v2_pred_16.pdb,0.394
cf_woTemplates_model_1_multimer_v2_pred_12.pdb,0.391
afm_dropout_full_woTemplates_model_1_multimer_v2_pred_5.pdb,0.389
afm_dropout_noSM_woTemplates_model_1_multimer_v2_pred_11.pdb,0.389
afm_dropout_full_woTemplates_model_1_multimer_v2_pred_6.pdb,0.385
afm_woTemplates_model_1_multimer_v3_pred_15.pdb,0.381
afm_woTemplates_model_4_multimer_v3_pred_7.pdb,0.379
afm_woTemplates_model_4_multimer_v3_pred_1.pdb,0.379
cf_woTemplates_model_4_multimer_v3_pred_2.pdb,0.379
cf_dropout_full_woTemplates_model_1_multimer_v2_pred_0.pdb,0.378
afm_dropout_noSM_woTemplates_model_1_multimer_v2_pred_0.pdb,0.376
cf_dropout_full_woTemplates_model_1_multimer_v2_pred_1.pdb,0.375
cf_woTemplates_model_1_multimer_v2_pred_16.pdb,0.374
cf_dropout_full_woTemplates_model_1_multimer_v2_pred_6.pdb,0.372
afm_woTemplates_model_1_multimer_v2_pred_10.pdb,0.371
afm_dropout_noSM_woTemplates_model_1_multimer_v2_pred_4.pdb,0.37
afm_dropout_noSM_woTemplates_model_1_multimer_v2_pred_3.pdb,0.37
afm_dropout_full_woTemplates_model_1_multimer_v2_pred_0.pdb,0.369
cf_dropout_full_woTemplates_model_1_multimer_v2_pred_2.pdb,0.368
cf_woTemplates_model_1_multimer_v2_pred_6.pdb,0.367
afm_woTemplates_model_4_multimer_v3_pred_6.pdb,0.363
cf_dropout_full_woTemplates_model_1_multimer_v2_pred_15.pdb,0.362
afm_woTemplates_model_4_multimer_v3_pred_10.pdb,0.362
cf_dropout_full_woTemplates_model_1_multimer_v2_pred_9.pdb,0.36
afm_dropout_noSM_woTemplates_model_1_multimer_v2_pred_12.pdb,0.359
cf_woTemplates_model_1_multimer_v2_pred_14.pdb,0.359
afm_dropout_full_woTemplates_model_1_multimer_v2_pred_11.pdb,0.358
afm_dropout_noSM_woTemplates_model_1_multimer_v2_pred_9.pdb,0.357
afm_dropout_full_woTemplates_model_1_multimer_v2_pred_15.pdb,0.356
cf_woTemplates_model_4_multimer_v3_pred_15.pdb,0.355
afm_dropout_noSM_woTemplates_model_2_multimer_v3_pred_0.pdb,0.354
afm_woTemplates_model_1_multimer_v2_pred_12.pdb,0.351
afm_woTemplates_model_1_multimer_v2_pred_8.pdb,0.351
afm_dropout_noSM_woTemplates_model_1_multimer_v2_pred_15.pdb,0.35
afm_woTemplates_model_3_multimer_v2_pred_3.pdb,0.348
cf_woTemplates_model_3_multimer_v2_pred_4.pdb,0.347
afm_dropout_full_woTemplates_model_1_multimer_v2_pred_13.pdb,0.346
afm_dropout_full_woTemplates_model_1_multimer_v2_pred_8.pdb,0.343
cf_dropout_full_woTemplates_model_1_multimer_v2_pred_11.pdb,0.342
afm_dropout_full_woTemplates_model_1_multimer_v2_pred_1.pdb,0.341
afm_dropout_full_woTemplates_model_1_multimer_v2_pred_10.pdb,0.34
cf_dropout_full_woTemplates_model_5_multimer_v3_pred_5.pdb,0.34
afm_dropout_noSM_woTemplates_model_1_multimer_v2_pred_5.pdb,0.34
afm_dropout_noSM_woTemplates_model_1_multimer_v2_pred_8.pdb,0.338
afm_woTemplates_model_1_multimer_v3_pred_11.pdb,0.338
cf_woTemplates_model_5_multimer_v3_pred_2.pdb,0.333
cf_dropout_full_woTemplates_model_1_multimer_v2_pred_14.pdb,0.332
afm_dropout_full_woTemplates_model_1_multimer_v2_pred_12.pdb,0.332
cf_dropout_full_woTemplates_model_1_multimer_v2_pred_16.pdb,0.33
cf_dropout_full_woTemplates_model_1_multimer_v2_pred_5.pdb,0.33
afm_woTemplates_model_2_multimer_v3_pred_12.pdb,0.328
cf_dropout_full_woTemplates_model_1_multimer_v2_pred_10.pdb,0.328
afm_woTemplates_model_4_multimer_v3_pred_4.pdb,0.328
afm_woTemplates_model_1_multimer_v3_pred_13.pdb,0.328
cf_woTemplates_model_1_multimer_v2_pred_1.pdb,0.327
afm_dropout_full_woTemplates_model_1_multimer_v2_pred_16.pdb,0.325
cf_woTemplates_model_4_multimer_v3_pred_8.pdb,0.322
cf_woTemplates_model_5_multimer_v2_pred_0.pdb,0.319
cf_dropout_full_woTemplates_model_1_multimer_v2_pred_3.pdb,0.319
afm_dropout_full_woTemplates_model_2_multimer_v3_pred_1.pdb,0.319
