model_name,lddt
afm_woTemplates_model_1_multimer_v3_pred_5.pdb,0.712
afm_woTemplates_model_1_multimer_v3_pred_7.pdb,0.693
afm_woTemplates_model_4_multimer_v3_pred_6.pdb,0.675
cf_woTemplates_model_5_multimer_v3_pred_16.pdb,0.664
cf_dropout_full_woTemplates_model_5_multimer_v3_pred_6.pdb,0.664
afm_woTemplates_model_4_multimer_v3_pred_1.pdb,0.659
afm_woTemplates_model_4_multimer_v3_pred_5.pdb,0.659
cf_woTemplates_model_4_multimer_v3_pred_9.pdb,0.655
cf_dropout_full_woTemplates_model_5_multimer_v3_pred_7.pdb,0.654
afm_dropout_full_woTemplates_model_5_multimer_v3_pred_11.pdb,0.654
cf_woTemplates_model_5_multimer_v3_pred_5.pdb,0.653
afm_dropout_full_woTemplates_model_5_multimer_v3_pred_14.pdb,0.653
cf_woTemplates_model_4_multimer_v3_pred_4.pdb,0.651
afm_woTemplates_model_4_multimer_v3_pred_4.pdb,0.651
cf_woTemplates_model_4_multimer_v3_pred_11.pdb,0.649
afm_woTemplates_model_1_multimer_v3_pred_16.pdb,0.649
afm_woTemplates_model_1_multimer_v3_pred_15.pdb,0.648
cf_dropout_full_woTemplates_model_5_multimer_v3_pred_2.pdb,0.645
afm_dropout_full_woTemplates_model_4_multimer_v3_pred_15.pdb,0.644
afm_woTemplates_model_4_multimer_v3_pred_10.pdb,0.644
afm_woTemplates_model_4_multimer_v3_pred_9.pdb,0.644
afm_dropout_full_woTemplates_model_4_multimer_v3_pred_16.pdb,0.644
afm_woTemplates_model_4_multimer_v3_pred_3.pdb,0.642
afm_dropout_noSM_woTemplates_model_5_multimer_v3_pred_1.pdb,0.641
cf_woTemplates_model_4_multimer_v3_pred_3.pdb,0.64
afm_woTemplates_model_4_multimer_v3_pred_11.pdb,0.639
afm_dropout_noSM_woTemplates_model_4_multimer_v3_pred_10.pdb,0.639
cf_dropout_full_woTemplates_model_5_multimer_v3_pred_5.pdb,0.638
afm_dropout_full_woTemplates_r3_model_4_multimer_v3_pred_7.pdb,0.637
afm_dropout_full_woTemplates_model_4_multimer_v3_pred_1.pdb,0.636
cf_dropout_full_woTemplates_model_4_multimer_v3_pred_8.pdb,0.634
afm_dropout_noSM_woTemplates_model_5_multimer_v3_pred_3.pdb,0.633
afm_dropout_full_woTemplates_model_4_multimer_v3_pred_11.pdb,0.633
cf_dropout_full_woTemplates_model_5_multimer_v3_pred_9.pdb,0.633
