group,weighted_penalty
QA029_2,0.22138550896658438
QA148_2,0.37091867720302535
QA312_2,1.0
QA212_2,0.26091761465090463
QA273_2,0.583112480420062
QA264_2,0.2304207274581635
QA345_2,0.8487162481889573
QA164_2,0.19716223694535695
QA051_2,0.6904672077112225
QA393_2,0.7309925008965591
QA188_2,0.1285525201131074
QAptm_2,0.22989420586873627
QA050_2,0.3455433811866384
QA110_2,0.0
QA314_2,0.8619184061812648
QA331_2,0.8805752633909144
QA425_2,0.8193872416302377
QA476_2,0.6171598615191766
QA122_2,0.9833083870190341
QA319_2,0.9181523817808825
QAplddts_2,0.8135162207359908
QA443_2,0.45997216928694185
