group,weighted_penalty
QA476_2,0.7533693557477572
QA122_2,0.7054095766931313
QA319_2,0.3190561078398041
QA443_2,0.06427105892574582
QA188_2,1.0
QAptm_2,0.6858200392916474
QA050_2,0.7047418127830335
QA110_2,0.007506328407033424
QA314_2,0.6297146951517308
QA331_2,0.724895979553534
QA425_2,0.2613371378998821
QAplddts_2,0.22824026195634425
QA264_2,0.7582783841818205
QA345_2,0.23588555651975887
QA164_2,0.0
QA051_2,0.6647680392993134
QA393_2,0.8122583623234709
QA029_2,0.23718844229039351
QA148_2,0.5196296037028638
QA312_2,0.6491395129758721
QA212_2,0.7334234284863197
QA273_2,0.04674098443403595
