group,weighted_penalty
QA273_2,0.04103653638905713
QA212_2,0.701925845321351
QA312_2,0.0
QA148_2,0.3844432181868076
QA393_2,0.6539438836324633
QA051_2,0.21776879430202778
QA164_2,0.6248916637529447
QA345_2,0.6637417119830741
QA264_2,0.34661169027722305
QA425_2,0.6115482917295061
QA331_2,1.0
QA314_2,0.5074864876162897
QA050_2,0.3147474933250078
QAptm_2,0.8829711466938499
QA188_2,0.6310099044439165
QA443_2,0.04103653638905713
QAplddts_2,0.5634812584163424
QA319_2,0.6105064782722828
QA122_2,0.7960919004469841
QA476_2,0.8258722753776645
