group,weighted_penalty
QA443_2,0.08507666123174296
QA319_2,0.1677138488079973
QA122_2,0.12161120576983332
QA476_2,0.2418636116956674
QA050_2,0.0353801498416175
QA425_2,0.16329009278017162
QA331_2,0.09359418893382519
QA314_2,0.0
QA110_2,1.0
QAptm_2,0.15082156837219876
QA188_2,0.20070765870666488
QAplddts_2,0.14050379589411222
QA051_2,0.12284563292051653
QA393_2,0.15162482488013132
QA264_2,0.025385129722866287
QA164_2,0.36611199427154756
QA345_2,0.13471940093987236
QA273_2,0.08147623133780213
QA212_2,0.08869939076556338
QA312_2,0.12602917638545794
QA148_2,0.25027422347623424
QA029_2,0.11532459636704763
