model_name,dockq_ave
afm_woTemplates_model_2_multimer_v3_pred_30.pdb,0.501
afm_woTemplates_model_5_multimer_v1_pred_47.pdb,0.5
afm_woTemplates_model_5_multimer_v3_pred_15.pdb,0.474
afm_woTemplates_model_5_multimer_v3_pred_24.pdb,0.474
afm_dropout_noSM_woTemplates_model_5_multimer_v3_pred_36.pdb,0.473
afm_dropout_full_woTemplates_model_5_multimer_v1_pred_51.pdb,0.472
afm_woTemplates_model_5_multimer_v3_pred_42.pdb,0.472
afm_woTemplates_model_5_multimer_v3_pred_50.pdb,0.471
afm_woTemplates_model_5_multimer_v3_pred_45.pdb,0.47
afm_woTemplates_model_2_multimer_v3_pred_31.pdb,0.47
afm_woTemplates_model_5_multimer_v3_pred_27.pdb,0.469
afm_dropout_full_woTemplates_model_5_multimer_v3_pred_52.pdb,0.469
afm_woTemplates_model_5_multimer_v3_pred_46.pdb,0.469
afm_woTemplates_model_5_multimer_v3_pred_28.pdb,0.469
afm_woTemplates_model_5_multimer_v3_pred_2.pdb,0.468
afm_dropout_noSM_woTemplates_model_5_multimer_v3_pred_3.pdb,0.468
afm_woTemplates_model_5_multimer_v3_pred_66.pdb,0.468
afm_dropout_full_woTemplates_model_5_multimer_v3_pred_57.pdb,0.468
afm_dropout_noSM_woTemplates_model_5_multimer_v3_pred_41.pdb,0.467
afm_woTemplates_model_5_multimer_v3_pred_53.pdb,0.467
afm_dropout_full_woTemplates_model_5_multimer_v1_pred_8.pdb,0.466
afm_dropout_full_woTemplates_model_5_multimer_v3_pred_17.pdb,0.466
afm_dropout_noSM_woTemplates_model_5_multimer_v3_pred_16.pdb,0.466
afm_woTemplates_model_5_multimer_v3_pred_54.pdb,0.466
afm_dropout_full_woTemplates_model_5_multimer_v3_pred_40.pdb,0.465
afm_dropout_noSM_woTemplates_model_5_multimer_v3_pred_63.pdb,0.465
afm_dropout_noSM_woTemplates_model_5_multimer_v1_pred_46.pdb,0.464
afm_woTemplates_model_4_multimer_v1_pred_20.pdb,0.463
afm_dropout_full_woTemplates_model_4_multimer_v1_pred_62.pdb,0.462
afm_dropout_full_woTemplates_model_5_multimer_v1_pred_57.pdb,0.461
cf_woTemplates_model_5_multimer_v3_pred_31.pdb,0.461
cf_woTemplates_model_5_multimer_v3_pred_5.pdb,0.461
cf_woTemplates_model_5_multimer_v3_pred_21.pdb,0.461
cf_dropout_full_woTemplates_model_5_multimer_v1_pred_30.pdb,0.461
cf_woTemplates_model_5_multimer_v3_pred_34.pdb,0.461
cf_woTemplates_model_5_multimer_v3_pred_54.pdb,0.46
cf_woTemplates_model_5_multimer_v3_pred_16.pdb,0.46
cf_woTemplates_model_5_multimer_v3_pred_24.pdb,0.459
afm_woTemplates_model_5_multimer_v3_pred_32.pdb,0.459
afm_dropout_full_woTemplates_r3_model_5_multimer_v3_pred_60.pdb,0.459
afm_woTemplates_model_5_multimer_v3_pred_4.pdb,0.459
afm_woTemplates_model_4_multimer_v1_pred_52.pdb,0.457
cf_woTemplates_model_5_multimer_v3_pred_9.pdb,0.457
afm_woTemplates_model_5_multimer_v3_pred_39.pdb,0.456
afm_dropout_noSM_woTemplates_model_3_multimer_v1_pred_21.pdb,0.456
afm_woTemplates_model_5_multimer_v1_pred_48.pdb,0.455
afm_dropout_noSM_woTemplates_model_5_multimer_v1_pred_40.pdb,0.45
afm_woTemplates_model_4_multimer_v1_pred_37.pdb,0.45
afm_woTemplates_model_5_multimer_v3_pred_31.pdb,0.449
afm_dropout_full_woTemplates_model_5_multimer_v1_pred_29.pdb,0.449
afm_dropout_full_woTemplates_model_5_multimer_v3_pred_36.pdb,0.447
afm_dropout_full_woTemplates_r3_model_5_multimer_v3_pred_55.pdb,0.447
afm_dropout_noSM_woTemplates_model_5_multimer_v1_pred_1.pdb,0.446
afm_dropout_noSM_woTemplates_model_5_multimer_v3_pred_59.pdb,0.444
afm_woTemplates_model_2_multimer_v1_pred_21.pdb,0.443
afm_dropout_full_woTemplates_r3_model_5_multimer_v3_pred_25.pdb,0.442
afm_dropout_full_woTemplates_model_1_multimer_v1_pred_10.pdb,0.442
