model_name,tm_score
afm_woTemplates_model_5_multimer_v3_pred_45.pdb,0.865
afm_woTemplates_model_5_multimer_v3_pred_24.pdb,0.864
afm_woTemplates_model_5_multimer_v3_pred_15.pdb,0.861
afm_woTemplates_model_5_multimer_v3_pred_28.pdb,0.86
afm_woTemplates_model_5_multimer_v3_pred_2.pdb,0.858
afm_woTemplates_model_5_multimer_v3_pred_27.pdb,0.858
afm_dropout_noSM_woTemplates_model_5_multimer_v3_pred_36.pdb,0.858
afm_woTemplates_model_5_multimer_v3_pred_46.pdb,0.858
afm_woTemplates_model_5_multimer_v3_pred_42.pdb,0.858
afm_woTemplates_model_5_multimer_v3_pred_66.pdb,0.857
afm_woTemplates_model_5_multimer_v3_pred_4.pdb,0.857
afm_dropout_noSM_woTemplates_model_5_multimer_v3_pred_63.pdb,0.856
afm_woTemplates_model_5_multimer_v3_pred_50.pdb,0.855
afm_dropout_full_woTemplates_model_5_multimer_v3_pred_57.pdb,0.855
afm_dropout_full_woTemplates_model_5_multimer_v3_pred_40.pdb,0.855
afm_dropout_full_woTemplates_model_5_multimer_v3_pred_17.pdb,0.854
cf_woTemplates_model_5_multimer_v3_pred_31.pdb,0.853
cf_woTemplates_model_5_multimer_v3_pred_34.pdb,0.852
afm_dropout_noSM_woTemplates_model_5_multimer_v3_pred_3.pdb,0.851
cf_woTemplates_model_5_multimer_v3_pred_21.pdb,0.851
afm_woTemplates_model_5_multimer_v3_pred_53.pdb,0.851
afm_dropout_full_woTemplates_model_5_multimer_v3_pred_52.pdb,0.85
afm_woTemplates_model_5_multimer_v3_pred_54.pdb,0.85
afm_woTemplates_model_2_multimer_v3_pred_30.pdb,0.849
cf_woTemplates_model_5_multimer_v3_pred_5.pdb,0.849
afm_dropout_noSM_woTemplates_model_5_multimer_v3_pred_16.pdb,0.849
afm_woTemplates_model_5_multimer_v3_pred_32.pdb,0.848
afm_dropout_full_woTemplates_r3_model_5_multimer_v3_pred_60.pdb,0.848
cf_woTemplates_model_5_multimer_v3_pred_54.pdb,0.847
cf_woTemplates_model_5_multimer_v3_pred_16.pdb,0.847
cf_woTemplates_model_5_multimer_v3_pred_9.pdb,0.846
cf_woTemplates_model_5_multimer_v3_pred_24.pdb,0.845
afm_dropout_noSM_woTemplates_model_5_multimer_v3_pred_13.pdb,0.844
afm_dropout_noSM_woTemplates_model_5_multimer_v3_pred_41.pdb,0.841
afm_woTemplates_model_5_multimer_v3_pred_29.pdb,0.838
afm_woTemplates_model_5_multimer_v3_pred_39.pdb,0.833
afm_dropout_full_woTemplates_model_5_multimer_v1_pred_51.pdb,0.827
afm_basic_model_5_multimer_v3_pred_4.pdb,0.827
afm_dropout_full_woTemplates_model_5_multimer_v1_pred_8.pdb,0.822
