group,weighted_penalty
QA476_2,0.09878439645974975
QAiptm+ptm_2,1.0
QA319_2,0.3301520276428343
QA188_2,0.0
QAptm_2,1.0
QA314_2,0.34181641752503067
QA110_2,0.5575926460580765
QA425_2,0.3687724003605047
QA331_2,0.38694846503693764
QA050_2,0.8680437798635178
QA345_2,0.6472226672667483
QA164_2,0.6620286040097326
QA264_2,0.3403879445746871
QA393_2,0.3403879445746871
QA051_2,0.33628921760825925
QA029_2,0.24785362415163106
QA148_2,0.33231830339853125
QAiptm_2,1.0
QAmean_plddt_2,0.7853752078490834
QA312_2,0.34181641752503067
QA212_2,0.472804562230552
