group,weighted_penalty
QA188_2,0.7852068672488544
QA050_2,0.22065129965429683
QA425_2,0.34294139576439403
QA331_2,0.007406396501456339
QA314_2,0.3651188476182134
QA110_2,1.0
QA122_2,0.0
QA476_2,0.8010211977773567
QA443_2,0.016824264415226848
QA319_2,0.013640235894133188
QA148_2,0.31307455339287354
QA029_2,0.05878353624822331
QA273_2,0.03553492840620393
QA212_2,0.2504740544184983
QA312_2,0.31307455339287354
QA264_2,0.8229130841436603
QA164_2,0.8752959035541413
QA345_2,0.007726075309342748
QA051_2,0.34379719264018316
QA393_2,0.8502562834801902
