model_name,ilddt
afm_basic_model_3_multimer_v3_pred_49.pdb,0.717
afm_basic_model_3_multimer_v3_pred_1.pdb,0.696
afm_dropout_full_model_3_multimer_v3_pred_8.pdb,0.696
afm_basic_model_5_multimer_v3_pred_42.pdb,0.695
afm_basic_model_3_multimer_v3_pred_53.pdb,0.693
afm_basic_model_5_multimer_v3_pred_38.pdb,0.686
afm_basic_model_3_multimer_v3_pred_6.pdb,0.685
afm_dropout_full_model_3_multimer_v3_pred_57.pdb,0.684
afm_woTemplates_model_5_multimer_v3_pred_18.pdb,0.683
afm_dropout_full_model_3_multimer_v3_pred_65.pdb,0.683
cf_woTemplates_model_1_multimer_v3_pred_52.pdb,0.682
afm_basic_model_5_multimer_v3_pred_18.pdb,0.682
afm_basic_model_5_multimer_v3_pred_66.pdb,0.682
afm_woTemplates_model_5_multimer_v3_pred_55.pdb,0.681
afm_basic_model_5_multimer_v3_pred_55.pdb,0.68
afm_basic_model_3_multimer_v3_pred_12.pdb,0.68
afm_dropout_full_model_3_multimer_v3_pred_53.pdb,0.679
afm_basic_model_5_multimer_v3_pred_21.pdb,0.677
afm_basic_model_3_multimer_v3_pred_63.pdb,0.677
afm_dropout_full_model_3_multimer_v3_pred_22.pdb,0.677
afm_basic_model_5_multimer_v3_pred_12.pdb,0.676
afm_woTemplates_model_3_multimer_v3_pred_10.pdb,0.676
cf_dropout_full_woTemplates_model_2_multimer_v3_pred_22.pdb,0.676
afm_dropout_full_model_3_multimer_v3_pred_9.pdb,0.675
afm_woTemplates_model_3_multimer_v3_pred_9.pdb,0.675
afm_basic_model_5_multimer_v3_pred_46.pdb,0.675
afm_dropout_noSM_woTemplates_model_3_multimer_v3_pred_61.pdb,0.674
afm_basic_model_3_multimer_v3_pred_64.pdb,0.674
afm_woTemplates_model_5_multimer_v3_pred_62.pdb,0.674
afm_dropout_full_model_3_multimer_v3_pred_19.pdb,0.674
afm_basic_model_5_multimer_v3_pred_51.pdb,0.674
afm_basic_model_4_multimer_v3_pred_16.pdb,0.674
afm_dropout_full_model_3_multimer_v3_pred_10.pdb,0.673
afm_basic_model_3_multimer_v3_pred_32.pdb,0.673
afm_woTemplates_model_5_multimer_v3_pred_3.pdb,0.673
afm_dropout_full_woTemplates_r3_model_4_multimer_v3_pred_23.pdb,0.672
afm_basic_model_5_multimer_v3_pred_7.pdb,0.672
afm_woTemplates_model_5_multimer_v3_pred_48.pdb,0.672
afm_woTemplates_model_4_multimer_v3_pred_54.pdb,0.672
afm_basic_model_5_multimer_v3_pred_11.pdb,0.672
afm_basic_model_5_multimer_v3_pred_2.pdb,0.671
afm_woTemplates_model_5_multimer_v3_pred_8.pdb,0.671
afm_basic_model_5_multimer_v3_pred_41.pdb,0.671
afm_woTemplates_model_5_multimer_v3_pred_63.pdb,0.671
afm_basic_model_5_multimer_v3_pred_57.pdb,0.671
afm_basic_model_5_multimer_v3_pred_45.pdb,0.671
afm_dropout_noSM_woTemplates_model_3_multimer_v3_pred_65.pdb,0.671
afm_basic_model_5_multimer_v3_pred_59.pdb,0.671
afm_dropout_full_woTemplates_r3_model_4_multimer_v3_pred_20.pdb,0.671
afm_woTemplates_model_5_multimer_v3_pred_13.pdb,0.671
afm_basic_model_5_multimer_v3_pred_56.pdb,0.671
afm_dropout_full_model_3_multimer_v3_pred_0.pdb,0.671
afm_woTemplates_model_5_multimer_v3_pred_61.pdb,0.67
afm_dropout_noSM_woTemplates_model_5_multimer_v3_pred_62.pdb,0.67
afm_basic_model_3_multimer_v3_pred_28.pdb,0.67
afm_woTemplates_model_5_multimer_v3_pred_15.pdb,0.67
afm_woTemplates_model_5_multimer_v3_pred_36.pdb,0.67
afm_basic_model_5_multimer_v3_pred_52.pdb,0.669
afm_woTemplates_model_3_multimer_v3_pred_20.pdb,0.669
afm_basic_model_5_multimer_v3_pred_63.pdb,0.669
afm_woTemplates_model_3_multimer_v3_pred_48.pdb,0.669
afm_dropout_full_woTemplates_model_5_multimer_v3_pred_45.pdb,0.669
afm_woTemplates_model_5_multimer_v3_pred_39.pdb,0.669
afm_woTemplates_model_5_multimer_v3_pred_58.pdb,0.669
afm_dropout_noSM_woTemplates_model_3_multimer_v3_pred_32.pdb,0.668
afm_dropout_full_model_3_multimer_v3_pred_43.pdb,0.668
afm_dropout_full_model_3_multimer_v3_pred_24.pdb,0.668
afm_basic_model_5_multimer_v3_pred_31.pdb,0.668
afm_basic_model_5_multimer_v3_pred_4.pdb,0.668
afm_dropout_noSM_woTemplates_model_3_multimer_v3_pred_52.pdb,0.668
afm_dropout_full_model_3_multimer_v3_pred_42.pdb,0.668
afm_woTemplates_model_5_multimer_v3_pred_25.pdb,0.668
afm_basic_model_5_multimer_v3_pred_16.pdb,0.668
afm_basic_model_5_multimer_v3_pred_8.pdb,0.668
afm_basic_model_5_multimer_v3_pred_24.pdb,0.668
afm_dropout_full_woTemplates_model_3_multimer_v3_pred_20.pdb,0.668
afm_basic_model_5_multimer_v3_pred_62.pdb,0.668
afm_woTemplates_model_3_multimer_v3_pred_37.pdb,0.668
afm_basic_model_3_multimer_v3_pred_20.pdb,0.668
afm_dropout_full_woTemplates_model_3_multimer_v3_pred_39.pdb,0.667
afm_dropout_full_model_3_multimer_v3_pred_66.pdb,0.667
