model_name,oligo_gdtts
afm_dropout_noSM_woTemplates_model_3_ptm_pred_83.pdb,0.875
afm_dropout_noSM_woTemplates_model_3_ptm_pred_116.pdb,0.875
afm_basic_model_3_ptm_pred_166.pdb,0.875
afm_dropout_full_model_3_ptm_pred_159.pdb,0.875
afm_basic_model_3_ptm_pred_142.pdb,0.875
afm_dropout_full_model_3_ptm_pred_147.pdb,0.875
afm_woTemplates_model_3_ptm_pred_99.pdb,0.875
afm_woTemplates_model_3_ptm_pred_121.pdb,0.875
afm_dropout_full_model_3_ptm_pred_38.pdb,0.873
afm_dropout_full_woTemplates_model_3_ptm_pred_105.pdb,0.873
afm_woTemplates_model_3_ptm_pred_112.pdb,0.873
afm_dropout_full_woTemplates_model_3_ptm_pred_82.pdb,0.873
afm_dropout_noSM_woTemplates_model_3_ptm_pred_136.pdb,0.873
afm_basic_model_3_ptm_pred_12.pdb,0.873
afm_dropout_full_woTemplates_model_3_ptm_pred_1.pdb,0.873
afm_basic_model_3_ptm_pred_170.pdb,0.873
afm_dropout_full_model_3_ptm_pred_171.pdb,0.873
afm_dropout_full_woTemplates_model_3_ptm_pred_32.pdb,0.873
afm_basic_model_3_ptm_pred_121.pdb,0.873
afm_dropout_full_woTemplates_model_3_ptm_pred_102.pdb,0.873
afm_dropout_full_woTemplates_model_3_ptm_pred_75.pdb,0.873
afm_woTemplates_model_3_ptm_pred_113.pdb,0.873
afm_dropout_noSM_woTemplates_model_3_ptm_pred_172.pdb,0.873
afm_basic_model_3_ptm_pred_152.pdb,0.873
afm_woTemplates_model_3_ptm_pred_157.pdb,0.873
afm_dropout_full_model_3_ptm_pred_57.pdb,0.873
afm_dropout_full_model_3_ptm_pred_92.pdb,0.873
afm_dropout_noSM_woTemplates_model_3_ptm_pred_182.pdb,0.873
afm_woTemplates_model_3_ptm_pred_126.pdb,0.873
afm_dropout_full_woTemplates_model_3_ptm_pred_103.pdb,0.873
afm_dropout_noSM_woTemplates_model_3_ptm_pred_168.pdb,0.873
afm_dropout_noSM_woTemplates_model_3_ptm_pred_77.pdb,0.873
afm_dropout_full_woTemplates_model_3_ptm_pred_193.pdb,0.871
afm_dropout_noSM_woTemplates_model_3_ptm_pred_111.pdb,0.871
afm_dropout_noSM_woTemplates_model_3_ptm_pred_45.pdb,0.871
afm_basic_model_3_ptm_pred_87.pdb,0.871
afm_dropout_noSM_woTemplates_model_3_ptm_pred_93.pdb,0.871
afm_basic_model_3_ptm_pred_165.pdb,0.871
afm_woTemplates_model_3_ptm_pred_66.pdb,0.871
afm_dropout_full_model_3_ptm_pred_16.pdb,0.871
afm_basic_model_3_ptm_pred_34.pdb,0.871
afm_basic_model_3_ptm_pred_29.pdb,0.871
afm_dropout_full_model_3_ptm_pred_179.pdb,0.871
afm_dropout_noSM_woTemplates_model_3_ptm_pred_176.pdb,0.871
afm_dropout_noSM_woTemplates_model_3_ptm_pred_123.pdb,0.871
afm_dropout_full_model_3_ptm_pred_20.pdb,0.871
afm_dropout_full_model_3_ptm_pred_101.pdb,0.871
afm_woTemplates_model_3_ptm_pred_127.pdb,0.871
afm_dropout_full_model_3_ptm_pred_81.pdb,0.871
afm_dropout_full_model_3_ptm_pred_88.pdb,0.871
afm_woTemplates_model_3_ptm_pred_156.pdb,0.871
afm_woTemplates_model_3_ptm_pred_195.pdb,0.871
afm_woTemplates_model_3_ptm_pred_6.pdb,0.871
afm_dropout_full_woTemplates_model_3_ptm_pred_174.pdb,0.871
afm_dropout_full_model_3_ptm_pred_152.pdb,0.871
afm_woTemplates_model_3_ptm_pred_184.pdb,0.869
afm_basic_model_3_ptm_pred_184.pdb,0.869
afm_basic_model_3_ptm_pred_18.pdb,0.869
afm_basic_model_3_ptm_pred_191.pdb,0.869
afm_basic_model_3_ptm_pred_20.pdb,0.869
afm_basic_model_3_ptm_pred_56.pdb,0.869
afm_basic_model_3_ptm_pred_129.pdb,0.869
afm_dropout_full_woTemplates_model_3_ptm_pred_76.pdb,0.869
afm_basic_model_3_ptm_pred_128.pdb,0.869
afm_basic_model_3_ptm_pred_138.pdb,0.869
afm_woTemplates_model_3_ptm_pred_88.pdb,0.869
afm_dropout_noSM_woTemplates_model_3_ptm_pred_181.pdb,0.869
afm_basic_model_3_ptm_pred_183.pdb,0.869
afm_dropout_full_model_3_ptm_pred_39.pdb,0.869
afm_basic_model_3_ptm_pred_131.pdb,0.869
afm_dropout_full_woTemplates_model_3_ptm_pred_30.pdb,0.869
afm_dropout_full_model_3_ptm_pred_56.pdb,0.869
