model_name,dockq_wave
afm_dropout_full_woTemplates_r3_model_3_multimer_v1_pred_32.pdb,0.009
afm_basic_model_4_multimer_v1_pred_46.pdb,0.008
afm_dropout_full_woTemplates_model_1_multimer_v1_pred_27.pdb,0.008
afm_dropout_full_model_3_multimer_v1_pred_20.pdb,0.008
afm_basic_model_4_multimer_v1_pred_58.pdb,0.008
afm_basic_model_4_multimer_v1_pred_3.pdb,0.008
afm_dropout_full_woTemplates_r3_model_3_multimer_v1_pred_50.pdb,0.008
cf_dropout_full_woTemplates_model_1_multimer_v1_pred_35.pdb,0.008
afm_dropout_full_model_3_multimer_v1_pred_42.pdb,0.008
afm_basic_model_4_multimer_v1_pred_42.pdb,0.008
afm_basic_model_4_multimer_v1_pred_27.pdb,0.008
afm_dropout_full_woTemplates_r3_model_1_multimer_v1_pred_21.pdb,0.008
afm_dropout_full_woTemplates_r3_model_3_multimer_v1_pred_19.pdb,0.008
afm_basic_model_4_multimer_v1_pred_7.pdb,0.008
afm_basic_model_4_multimer_v1_pred_29.pdb,0.008
afm_dropout_full_woTemplates_r3_model_3_multimer_v1_pred_64.pdb,0.008
afm_basic_model_4_multimer_v1_pred_65.pdb,0.008
afm_dropout_full_model_3_multimer_v1_pred_65.pdb,0.008
afm_basic_model_4_multimer_v1_pred_28.pdb,0.008
afm_basic_model_4_multimer_v1_pred_33.pdb,0.008
afm_dropout_full_woTemplates_r3_model_3_multimer_v1_pred_53.pdb,0.008
afm_basic_model_4_multimer_v1_pred_19.pdb,0.008
cf_woTemplates_model_1_multimer_v1_pred_0.pdb,0.008
afm_dropout_full_woTemplates_r3_model_3_multimer_v1_pred_38.pdb,0.008
cf_woTemplates_model_1_multimer_v1_pred_39.pdb,0.008
afm_basic_model_4_multimer_v1_pred_24.pdb,0.008
afm_basic_model_4_multimer_v1_pred_18.pdb,0.008
afm_basic_model_4_multimer_v1_pred_39.pdb,0.008
afm_basic_model_4_multimer_v1_pred_31.pdb,0.008
afm_dropout_full_woTemplates_r3_model_2_multimer_v1_pred_15.pdb,0.008
afm_woTemplates_model_4_multimer_v1_pred_29.pdb,0.008
afm_basic_model_4_multimer_v1_pred_41.pdb,0.008
afm_dropout_full_woTemplates_r3_model_2_multimer_v1_pred_9.pdb,0.008
afm_dropout_full_woTemplates_r3_model_1_multimer_v1_pred_29.pdb,0.008
afm_basic_model_4_multimer_v1_pred_21.pdb,0.008
afm_basic_model_4_multimer_v1_pred_26.pdb,0.008
afm_basic_model_4_multimer_v1_pred_2.pdb,0.008
afm_dropout_full_model_2_multimer_v1_pred_10.pdb,0.008
