group,weighted_penalty
QA319_2,0.1367238862853254
QA345_2,0.15533505115519178
QA314_2,0.15583854086353496
QA122_2,0.15869782360938264
QA050_2,0.18920218954109236
QA425_2,0.19213527026182367
QA051_2,0.19763286210558667
QA331_2,0.20107157996536876
QA273_2,0.20498255730753556
QA148_2,0.2121025395755686
QA393_2,0.22251242988825062
QA443_2,0.23911713770569706
QAmean_plddt_2,0.2457528262976716
QA110_2,0.2596716981256851
QAptm_2,0.26694800813448105
QAiptm+ptm_2,0.26817086167344056
QAiptm_2,0.26829793585528394
QA312_2,0.283822953168942
QA264_2,0.3086351829611119
QA029_2,0.3111683536300164
QA188_2,0.33209787034475474
QA212_2,0.33944733437989816
QA476_2,0.3515815548511602
QA164_2,0.4795856189588009
