group,weighted_penalty
QA443_2,0.29276124413476723
QA164_2,0.3314133426090027
QA110_2,0.3638533840696162
QA273_2,0.36538735652323556
QA050_2,0.3659449718602419
QA051_2,0.391387338317869
QA345_2,0.3950581685726976
QA029_2,0.3978610368545561
QA425_2,0.4048900149580488
QA319_2,0.40580004549566095
QAplddts_2,0.4080198516641415
QA312_2,0.4122371804780674
QA148_2,0.4179100674809929
QA212_2,0.4401018857908782
QA393_2,0.44221936899247644
QA331_2,0.44684346336573955
QA122_2,0.45581021476996225
QA314_2,0.45930276633231554
QA264_2,0.48287053920419676
QA476_2,0.4849955139218556
QAptm_2,0.49838138769435963
QA188_2,0.5117771030750524
