group,weighted_penalty
QAiptm_2,0.2882112245165723
QAiptm+ptm_2,0.29235282865681206
QA476_2,0.3018992002317263
QA264_2,0.313854720339316
QA312_2,0.317161021855049
QA110_2,0.3345879865383697
QA148_2,0.3364464446601606
QAptm_2,0.3387951477104521
QAmean_plddt_2,0.3390201842090733
QA188_2,0.3456511992917807
QA050_2,0.3586697567560558
QA393_2,0.3650762922497934
QA425_2,0.37181516020547667
QA164_2,0.389594292999805
QA051_2,0.405780934506502
QA314_2,0.4130185403086809
QA443_2,0.4327062567823046
QA345_2,0.4391239987163919
QA273_2,0.4633126909991878
QA122_2,0.47052324049142635
QA319_2,0.4767656528980534
QA331_2,0.49166573288509663
QA029_2,0.5961193066488467
QA212_2,0.6411602829491685
