model_name,ilddt
afm_dropout_full_woTemplates_model_1_multimer_v2_pred_64.pdb,0.911
afm_dropout_full_model_3_multimer_v3_pred_14.pdb,0.911
afm_basic_model_5_multimer_v1_pred_17.pdb,0.911
afm_basic_model_5_multimer_v2_pred_19.pdb,0.911
afm_woTemplates_model_5_multimer_v2_pred_13.pdb,0.911
cf_woTemplates_model_5_multimer_v2_pred_0.pdb,0.911
cf_dropout_full_woTemplates_model_5_multimer_v2_pred_27.pdb,0.911
afm_woTemplates_model_2_multimer_v2_pred_40.pdb,0.911
afm_woTemplates_model_5_multimer_v2_pred_29.pdb,0.911
afm_woTemplates_model_5_multimer_v2_pred_45.pdb,0.911
afm_woTemplates_model_5_multimer_v2_pred_48.pdb,0.911
afm_basic_model_5_multimer_v2_pred_64.pdb,0.911
afm_dropout_full_model_5_multimer_v3_pred_29.pdb,0.911
afm_dropout_full_model_1_multimer_v3_pred_12.pdb,0.911
afm_woTemplates_model_5_multimer_v2_pred_63.pdb,0.911
cf_dropout_full_woTemplates_model_5_multimer_v2_pred_50.pdb,0.911
afm_basic_model_5_multimer_v2_pred_43.pdb,0.911
afm_dropout_full_woTemplates_model_5_multimer_v3_pred_27.pdb,0.911
afm_woTemplates_model_5_multimer_v2_pred_43.pdb,0.911
afm_woTemplates_model_4_multimer_v3_pred_62.pdb,0.911
afm_woTemplates_model_5_multimer_v2_pred_9.pdb,0.911
afm_basic_model_5_multimer_v3_pred_14.pdb,0.911
afm_dropout_noSM_woTemplates_model_5_multimer_v2_pred_59.pdb,0.911
afm_dropout_full_woTemplates_model_5_multimer_v3_pred_3.pdb,0.911
afm_dropout_noSM_woTemplates_model_5_multimer_v2_pred_14.pdb,0.911
afm_dropout_noSM_woTemplates_model_4_multimer_v3_pred_8.pdb,0.911
afm_dropout_full_woTemplates_model_4_multimer_v3_pred_44.pdb,0.911
afm_basic_model_5_multimer_v2_pred_6.pdb,0.911
afm_basic_model_5_multimer_v2_pred_56.pdb,0.911
cf_dropout_full_woTemplates_model_3_multimer_v2_pred_58.pdb,0.911
afm_woTemplates_model_5_multimer_v2_pred_50.pdb,0.911
afm_basic_model_5_multimer_v1_pred_16.pdb,0.91
