model_name,ips
afm_woTemplates_model_5_multimer_v2_pred_59.pdb,0.803
afm_basic_model_2_multimer_v2_pred_25.pdb,0.803
afm_basic_model_5_multimer_v2_pred_11.pdb,0.803
afm_dropout_full_woTemplates_r3_model_5_multimer_v3_pred_32.pdb,0.803
afm_basic_model_2_multimer_v3_pred_63.pdb,0.803
afm_dropout_full_model_5_multimer_v3_pred_41.pdb,0.803
afm_dropout_full_woTemplates_r3_model_5_multimer_v2_pred_28.pdb,0.803
afm_dropout_full_woTemplates_r3_model_5_multimer_v2_pred_0.pdb,0.803
afm_basic_model_2_multimer_v2_pred_52.pdb,0.803
cf_woTemplates_model_4_multimer_v2_pred_3.pdb,0.803
afm_basic_model_5_multimer_v3_pred_27.pdb,0.803
afm_basic_model_5_multimer_v2_pred_32.pdb,0.803
cf_woTemplates_model_2_multimer_v2_pred_15.pdb,0.803
afm_woTemplates_model_2_multimer_v2_pred_62.pdb,0.803
afm_basic_model_5_multimer_v2_pred_45.pdb,0.803
cf_woTemplates_model_4_multimer_v2_pred_48.pdb,0.803
afm_dropout_full_woTemplates_model_2_multimer_v3_pred_20.pdb,0.803
afm_basic_model_5_multimer_v2_pred_24.pdb,0.803
afm_woTemplates_model_5_multimer_v2_pred_62.pdb,0.803
afm_basic_model_2_multimer_v2_pred_27.pdb,0.803
afm_woTemplates_model_2_multimer_v2_pred_45.pdb,0.803
afm_basic_model_2_multimer_v2_pred_64.pdb,0.803
afm_woTemplates_model_2_multimer_v2_pred_35.pdb,0.803
afm_woTemplates_model_2_multimer_v2_pred_29.pdb,0.803
afm_woTemplates_model_2_multimer_v2_pred_59.pdb,0.803
afm_woTemplates_model_2_multimer_v2_pred_48.pdb,0.803
afm_dropout_full_model_5_multimer_v2_pred_1.pdb,0.803
cf_woTemplates_model_4_multimer_v2_pred_12.pdb,0.803
afm_basic_model_5_multimer_v2_pred_63.pdb,0.803
afm_dropout_full_model_5_multimer_v2_pred_4.pdb,0.803
afm_dropout_full_woTemplates_r3_model_5_multimer_v3_pred_16.pdb,0.802
afm_dropout_full_model_5_multimer_v3_pred_51.pdb,0.802
afm_dropout_full_model_5_multimer_v2_pred_21.pdb,0.802
afm_dropout_noSM_woTemplates_model_5_multimer_v2_pred_6.pdb,0.802
afm_dropout_full_woTemplates_r3_model_5_multimer_v2_pred_34.pdb,0.802
afm_dropout_full_woTemplates_model_5_multimer_v2_pred_44.pdb,0.802
afm_dropout_noSM_woTemplates_model_1_multimer_v2_pred_66.pdb,0.802
afm_dropout_full_woTemplates_r3_model_5_multimer_v3_pred_28.pdb,0.802
afm_woTemplates_model_5_multimer_v2_pred_44.pdb,0.802
afm_dropout_full_model_5_multimer_v2_pred_54.pdb,0.802
afm_dropout_noSM_woTemplates_model_5_multimer_v2_pred_11.pdb,0.802
afm_basic_model_5_multimer_v2_pred_4.pdb,0.802
cf_dropout_full_woTemplates_model_4_multimer_v2_pred_41.pdb,0.8
afm_dropout_full_woTemplates_model_1_multimer_v2_pred_13.pdb,0.8
afm_basic_model_2_multimer_v2_pred_43.pdb,0.8
afm_woTemplates_model_2_multimer_v2_pred_33.pdb,0.8
afm_woTemplates_model_2_multimer_v2_pred_28.pdb,0.8
afm_dropout_full_woTemplates_r3_model_1_multimer_v2_pred_5.pdb,0.8
afm_dropout_noSM_woTemplates_model_5_multimer_v3_pred_60.pdb,0.8
afm_dropout_full_woTemplates_r3_model_5_multimer_v2_pred_12.pdb,0.8
cf_dropout_full_woTemplates_model_4_multimer_v2_pred_2.pdb,0.8
afm_dropout_full_woTemplates_r3_model_5_multimer_v3_pred_46.pdb,0.8
afm_woTemplates_model_1_multimer_v1_pred_50.pdb,0.8
afm_woTemplates_model_1_multimer_v2_pred_27.pdb,0.8
afm_dropout_full_model_2_multimer_v2_pred_41.pdb,0.8
afm_dropout_full_woTemplates_model_5_multimer_v2_pred_24.pdb,0.8
afm_dropout_full_woTemplates_r3_model_4_multimer_v2_pred_6.pdb,0.8
