model_name,qs_global
afm_woTemplates_model_3_multimer_v2_pred_10.pdb,0.828
afm_woTemplates_model_3_multimer_v2_pred_3.pdb,0.827
afm_woTemplates_model_3_multimer_v2_pred_4.pdb,0.826
afm_woTemplates_model_3_multimer_v2_pred_19.pdb,0.826
afm_woTemplates_model_3_multimer_v2_pred_1.pdb,0.826
afm_woTemplates_model_3_multimer_v2_pred_2.pdb,0.826
afm_woTemplates_model_3_multimer_v2_pred_21.pdb,0.826
afm_woTemplates_model_3_multimer_v2_pred_5.pdb,0.825
afm_woTemplates_model_3_multimer_v2_pred_33.pdb,0.825
afm_woTemplates_model_3_multimer_v2_pred_29.pdb,0.825
afm_woTemplates_model_3_multimer_v2_pred_22.pdb,0.824
afm_woTemplates_model_3_multimer_v2_pred_25.pdb,0.823
afm_dropout_noSM_woTemplates_model_4_multimer_v3_pred_24.pdb,0.823
afm_woTemplates_model_3_multimer_v2_pred_32.pdb,0.823
afm_woTemplates_model_4_multimer_v3_pred_15.pdb,0.823
afm_woTemplates_model_4_multimer_v3_pred_22.pdb,0.823
afm_dropout_full_woTemplates_model_4_multimer_v3_pred_24.pdb,0.823
afm_woTemplates_model_4_multimer_v3_pred_17.pdb,0.823
afm_woTemplates_model_3_multimer_v2_pred_24.pdb,0.823
afm_dropout_noSM_woTemplates_model_4_multimer_v3_pred_1.pdb,0.822
cf_woTemplates_model_4_multimer_v3_pred_15.pdb,0.822
cf_woTemplates_model_4_multimer_v3_pred_19.pdb,0.822
afm_dropout_full_woTemplates_model_4_multimer_v3_pred_15.pdb,0.821
afm_dropout_noSM_woTemplates_model_4_multimer_v3_pred_17.pdb,0.821
cf_woTemplates_model_1_multimer_v3_pred_0.pdb,0.821
afm_woTemplates_model_4_multimer_v3_pred_23.pdb,0.82
afm_dropout_full_woTemplates_model_4_multimer_v3_pred_21.pdb,0.82
afm_dropout_full_woTemplates_model_4_multimer_v3_pred_10.pdb,0.82
afm_woTemplates_model_4_multimer_v3_pred_16.pdb,0.82
afm_dropout_noSM_woTemplates_model_4_multimer_v3_pred_31.pdb,0.82
cf_dropout_full_woTemplates_model_4_multimer_v3_pred_29.pdb,0.819
