model_name,qs_global
afm_dropout_full_woTemplates_r3_model_3_multimer_v2_pred_64.pdb,0.947
afm_dropout_full_woTemplates_r3_model_3_multimer_v2_pred_35.pdb,0.94
cf_woTemplates_model_2_multimer_v2_pred_43.pdb,0.939
afm_dropout_full_woTemplates_r3_model_2_multimer_v2_pred_24.pdb,0.938
afm_dropout_full_woTemplates_r3_model_3_multimer_v2_pred_46.pdb,0.938
afm_woTemplates_model_2_multimer_v2_pred_21.pdb,0.937
afm_dropout_full_woTemplates_r3_model_3_multimer_v2_pred_26.pdb,0.937
cf_woTemplates_model_3_multimer_v3_pred_0.pdb,0.937
cf_woTemplates_model_3_multimer_v3_pred_30.pdb,0.936
afm_woTemplates_model_1_multimer_v1_pred_23.pdb,0.936
cf_woTemplates_model_3_multimer_v3_pred_43.pdb,0.936
cf_woTemplates_model_3_multimer_v3_pred_37.pdb,0.936
afm_dropout_full_woTemplates_r3_model_2_multimer_v2_pred_58.pdb,0.936
afm_dropout_full_woTemplates_r3_model_2_multimer_v2_pred_3.pdb,0.936
cf_dropout_full_woTemplates_model_3_multimer_v3_pred_59.pdb,0.935
cf_woTemplates_model_3_multimer_v3_pred_7.pdb,0.935
cf_woTemplates_model_3_multimer_v3_pred_58.pdb,0.935
afm_woTemplates_model_2_multimer_v2_pred_52.pdb,0.935
cf_woTemplates_model_3_multimer_v3_pred_35.pdb,0.935
cf_woTemplates_model_3_multimer_v3_pred_52.pdb,0.935
cf_woTemplates_model_3_multimer_v3_pred_28.pdb,0.935
cf_woTemplates_model_3_multimer_v3_pred_40.pdb,0.935
cf_woTemplates_model_3_multimer_v3_pred_53.pdb,0.935
afm_dropout_noSM_woTemplates_model_1_multimer_v1_pred_16.pdb,0.935
cf_woTemplates_model_2_multimer_v2_pred_6.pdb,0.935
cf_woTemplates_model_1_multimer_v3_pred_54.pdb,0.935
cf_woTemplates_model_3_multimer_v3_pred_47.pdb,0.934
cf_dropout_full_woTemplates_model_3_multimer_v2_pred_6.pdb,0.934
cf_dropout_full_woTemplates_model_3_multimer_v3_pred_28.pdb,0.934
cf_dropout_full_woTemplates_model_3_multimer_v3_pred_30.pdb,0.934
afm_dropout_full_woTemplates_r3_model_2_multimer_v2_pred_14.pdb,0.934
afm_woTemplates_model_2_multimer_v2_pred_33.pdb,0.934
cf_woTemplates_model_3_multimer_v3_pred_12.pdb,0.934
afm_dropout_full_model_1_multimer_v1_pred_63.pdb,0.934
cf_woTemplates_model_3_multimer_v3_pred_8.pdb,0.934
afm_dropout_full_model_1_multimer_v1_pred_48.pdb,0.934
afm_dropout_full_model_1_multimer_v1_pred_40.pdb,0.934
afm_basic_model_1_multimer_v1_pred_25.pdb,0.934
cf_dropout_full_woTemplates_model_1_multimer_v3_pred_38.pdb,0.934
