model_name,dockq_ave
afm_dropout_full_woTemplates_r3_model_3_multimer_v2_pred_64.pdb,0.877
afm_dropout_full_woTemplates_r3_model_2_multimer_v2_pred_46.pdb,0.86
afm_dropout_full_woTemplates_r3_model_3_multimer_v2_pred_31.pdb,0.859
afm_dropout_full_woTemplates_r3_model_3_multimer_v2_pred_5.pdb,0.852
afm_dropout_full_woTemplates_r3_model_2_multimer_v2_pred_60.pdb,0.85
afm_dropout_full_woTemplates_r3_model_3_multimer_v2_pred_14.pdb,0.848
afm_dropout_full_woTemplates_r3_model_3_multimer_v2_pred_26.pdb,0.847
afm_dropout_full_woTemplates_r3_model_2_multimer_v2_pred_39.pdb,0.842
afm_woTemplates_model_1_multimer_v2_pred_30.pdb,0.841
afm_dropout_full_woTemplates_r3_model_1_multimer_v3_pred_33.pdb,0.834
afm_dropout_full_woTemplates_model_2_multimer_v2_pred_1.pdb,0.833
afm_dropout_full_woTemplates_r3_model_2_multimer_v3_pred_39.pdb,0.832
afm_dropout_full_woTemplates_r3_model_2_multimer_v3_pred_16.pdb,0.832
afm_dropout_noSM_woTemplates_model_2_multimer_v2_pred_12.pdb,0.831
afm_dropout_full_model_1_multimer_v1_pred_48.pdb,0.831
afm_dropout_full_woTemplates_r3_model_5_multimer_v3_pred_3.pdb,0.831
afm_dropout_full_woTemplates_r3_model_2_multimer_v3_pred_41.pdb,0.831
afm_dropout_full_woTemplates_model_2_multimer_v3_pred_13.pdb,0.83
afm_dropout_full_woTemplates_model_2_multimer_v2_pred_28.pdb,0.828
afm_dropout_noSM_woTemplates_model_2_multimer_v2_pred_1.pdb,0.828
afm_dropout_full_woTemplates_r3_model_2_multimer_v2_pred_8.pdb,0.828
afm_dropout_full_woTemplates_r3_model_2_multimer_v2_pred_3.pdb,0.828
afm_dropout_full_woTemplates_r3_model_2_multimer_v3_pred_14.pdb,0.828
afm_dropout_full_woTemplates_r3_model_2_multimer_v2_pred_24.pdb,0.827
afm_dropout_noSM_woTemplates_model_2_multimer_v2_pred_16.pdb,0.827
afm_dropout_full_woTemplates_r3_model_2_multimer_v3_pred_0.pdb,0.827
afm_dropout_full_woTemplates_model_2_multimer_v2_pred_42.pdb,0.826
afm_dropout_full_woTemplates_r3_model_2_multimer_v3_pred_31.pdb,0.826
afm_dropout_full_woTemplates_model_2_multimer_v2_pred_40.pdb,0.826
afm_woTemplates_model_2_multimer_v2_pred_49.pdb,0.826
afm_dropout_full_woTemplates_r3_model_5_multimer_v3_pred_57.pdb,0.826
afm_dropout_full_woTemplates_r3_model_2_multimer_v3_pred_64.pdb,0.826
afm_dropout_noSM_woTemplates_model_4_multimer_v1_pred_53.pdb,0.826
afm_dropout_full_woTemplates_r3_model_2_multimer_v3_pred_12.pdb,0.826
afm_dropout_full_woTemplates_r3_model_2_multimer_v3_pred_35.pdb,0.826
