model_name,qs_global
afm_dropout_full_woTemplates_model_4_multimer_v3_pred_13.pdb,0.686
afm_dropout_full_model_3_multimer_v2_pred_48.pdb,0.686
cf_woTemplates_model_3_multimer_v1_pred_65.pdb,0.686
cf_dropout_full_woTemplates_model_1_multimer_v1_pred_66.pdb,0.686
afm_dropout_full_woTemplates_model_4_multimer_v3_pred_34.pdb,0.686
cf_dropout_full_woTemplates_model_1_multimer_v1_pred_48.pdb,0.685
cf_dropout_full_woTemplates_model_3_multimer_v1_pred_62.pdb,0.685
afm_dropout_noSM_woTemplates_model_5_multimer_v3_pred_31.pdb,0.685
afm_basic_model_2_multimer_v3_pred_47.pdb,0.684
cf_woTemplates_model_4_multimer_v1_pred_4.pdb,0.684
cf_woTemplates_model_4_multimer_v1_pred_38.pdb,0.684
afm_dropout_full_woTemplates_model_4_multimer_v1_pred_27.pdb,0.684
afm_dropout_full_woTemplates_r3_model_2_multimer_v3_pred_41.pdb,0.684
cf_woTemplates_model_2_multimer_v1_pred_31.pdb,0.684
cf_dropout_full_woTemplates_model_4_multimer_v2_pred_7.pdb,0.684
cf_woTemplates_model_3_multimer_v1_pred_27.pdb,0.683
cf_dropout_full_woTemplates_model_5_multimer_v3_pred_49.pdb,0.683
afm_dropout_noSM_woTemplates_model_5_multimer_v3_pred_66.pdb,0.683
afm_dropout_full_model_5_multimer_v3_pred_11.pdb,0.683
afm_dropout_full_model_2_multimer_v3_pred_32.pdb,0.682
cf_woTemplates_model_1_multimer_v1_pred_2.pdb,0.682
afm_basic_model_2_multimer_v3_pred_28.pdb,0.682
afm_dropout_full_model_2_multimer_v3_pred_54.pdb,0.682
afm_basic_model_2_multimer_v3_pred_63.pdb,0.682
cf_woTemplates_model_1_multimer_v1_pred_54.pdb,0.682
cf_dropout_full_woTemplates_model_5_multimer_v3_pred_52.pdb,0.682
afm_dropout_noSM_woTemplates_model_1_multimer_v3_pred_34.pdb,0.682
afm_dropout_noSM_woTemplates_model_5_multimer_v3_pred_26.pdb,0.682
cf_woTemplates_model_1_multimer_v1_pred_13.pdb,0.681
