model_name,ips
afm_basic_model_4_multimer_v3_pred_3.pdb,0.249
afm_basic_model_3_multimer_v3_pred_18.pdb,0.249
afm_basic_model_3_multimer_v3_pred_40.pdb,0.249
afm_dropout_noSM_woTemplates_model_3_multimer_v2_pred_54.pdb,0.248
afm_basic_model_4_multimer_v3_pred_10.pdb,0.248
afm_dropout_full_model_1_multimer_v2_pred_37.pdb,0.248
afm_basic_model_1_multimer_v3_pred_57.pdb,0.248
afm_dropout_full_woTemplates_model_3_multimer_v3_pred_31.pdb,0.248
afm_basic_model_3_multimer_v3_pred_6.pdb,0.248
afm_basic_model_3_multimer_v3_pred_44.pdb,0.248
afm_basic_model_3_multimer_v3_pred_42.pdb,0.247
afm_basic_model_4_multimer_v3_pred_40.pdb,0.247
cf_dropout_full_woTemplates_model_2_multimer_v3_pred_53.pdb,0.247
afm_dropout_full_model_4_multimer_v3_pred_46.pdb,0.247
afm_woTemplates_model_3_multimer_v2_pred_48.pdb,0.247
afm_basic_model_3_multimer_v3_pred_55.pdb,0.247
afm_basic_model_1_multimer_v2_pred_59.pdb,0.247
afm_basic_model_3_multimer_v3_pred_35.pdb,0.246
afm_dropout_full_model_4_multimer_v3_pred_4.pdb,0.246
afm_dropout_full_model_4_multimer_v3_pred_35.pdb,0.246
cf_dropout_full_woTemplates_model_3_multimer_v2_pred_6.pdb,0.246
afm_basic_model_1_multimer_v2_pred_49.pdb,0.246
afm_basic_model_3_multimer_v3_pred_46.pdb,0.246
cf_woTemplates_model_3_multimer_v3_pred_25.pdb,0.246
afm_dropout_full_model_3_multimer_v3_pred_34.pdb,0.245
afm_dropout_full_model_1_multimer_v2_pred_63.pdb,0.245
afm_dropout_full_model_4_multimer_v3_pred_6.pdb,0.245
afm_basic_model_1_multimer_v2_pred_21.pdb,0.245
afm_basic_model_4_multimer_v3_pred_5.pdb,0.245
afm_basic_model_1_multimer_v2_pred_36.pdb,0.245
afm_dropout_full_model_4_multimer_v3_pred_0.pdb,0.245
afm_woTemplates_model_3_multimer_v3_pred_45.pdb,0.245
afm_basic_model_1_multimer_v2_pred_12.pdb,0.245
afm_dropout_full_model_1_multimer_v2_pred_50.pdb,0.245
afm_dropout_full_model_1_multimer_v2_pred_11.pdb,0.244
afm_woTemplates_model_3_multimer_v2_pred_44.pdb,0.244
afm_dropout_full_model_4_multimer_v3_pred_9.pdb,0.244
afm_woTemplates_model_3_multimer_v2_pred_42.pdb,0.244
afm_basic_model_4_multimer_v3_pred_34.pdb,0.244
afm_dropout_full_model_1_multimer_v2_pred_53.pdb,0.244
afm_dropout_full_model_4_multimer_v3_pred_26.pdb,0.244
afm_dropout_full_woTemplates_model_3_multimer_v2_pred_2.pdb,0.244
