model_name,ics
cf_dropout_full_woTemplates_model_3_multimer_v2_pred_25.pdb,0.035
cf_dropout_full_woTemplates_model_3_multimer_v2_pred_48.pdb,0.035
cf_dropout_full_woTemplates_model_3_multimer_v2_pred_39.pdb,0.035
afm_dropout_noSM_woTemplates_model_5_multimer_v3_pred_46.pdb,0.035
afm_dropout_full_woTemplates_r3_model_3_multimer_v3_pred_0.pdb,0.035
afm_dropout_noSM_woTemplates_model_1_multimer_v3_pred_20.pdb,0.035
afm_woTemplates_model_4_multimer_v3_pred_35.pdb,0.035
cf_dropout_full_woTemplates_model_3_multimer_v2_pred_8.pdb,0.035
afm_dropout_full_woTemplates_model_5_multimer_v3_pred_6.pdb,0.035
afm_dropout_full_woTemplates_model_5_multimer_v3_pred_41.pdb,0.035
afm_dropout_noSM_woTemplates_model_3_multimer_v2_pred_28.pdb,0.035
afm_dropout_noSM_woTemplates_model_3_multimer_v3_pred_49.pdb,0.035
afm_woTemplates_model_4_multimer_v3_pred_61.pdb,0.035
cf_dropout_full_woTemplates_model_3_multimer_v2_pred_37.pdb,0.035
afm_dropout_full_woTemplates_r3_model_3_multimer_v3_pred_22.pdb,0.035
cf_woTemplates_model_4_multimer_v3_pred_27.pdb,0.034
afm_woTemplates_model_4_multimer_v3_pred_26.pdb,0.034
afm_dropout_noSM_woTemplates_model_1_multimer_v3_pred_12.pdb,0.034
cf_dropout_full_woTemplates_model_3_multimer_v2_pred_59.pdb,0.034
cf_dropout_full_woTemplates_model_3_multimer_v2_pred_32.pdb,0.034
afm_basic_model_5_multimer_v3_pred_63.pdb,0.034
afm_dropout_full_woTemplates_model_5_multimer_v3_pred_61.pdb,0.034
afm_dropout_noSM_woTemplates_model_4_multimer_v3_pred_19.pdb,0.034
cf_woTemplates_model_3_multimer_v2_pred_17.pdb,0.034
afm_woTemplates_model_3_multimer_v3_pred_34.pdb,0.034
afm_woTemplates_model_3_multimer_v2_pred_7.pdb,0.034
cf_dropout_full_woTemplates_model_3_multimer_v2_pred_2.pdb,0.034
afm_woTemplates_model_4_multimer_v3_pred_51.pdb,0.034
cf_woTemplates_model_3_multimer_v2_pred_20.pdb,0.034
