model_name,ilddt
afm_basic_model_1_multimer_v3_pred_55.pdb,0.18
afm_basic_model_2_multimer_v3_pred_61.pdb,0.18
afm_basic_model_2_multimer_v3_pred_58.pdb,0.18
afm_dropout_full_model_5_multimer_v3_pred_22.pdb,0.18
afm_basic_model_1_multimer_v2_pred_1.pdb,0.18
afm_dropout_full_model_1_multimer_v3_pred_10.pdb,0.18
afm_dropout_full_model_1_multimer_v3_pred_7.pdb,0.18
afm_basic_model_1_multimer_v3_pred_11.pdb,0.179
afm_basic_model_3_multimer_v1_pred_23.pdb,0.179
afm_basic_model_2_multimer_v3_pred_16.pdb,0.179
afm_dropout_full_model_2_multimer_v3_pred_59.pdb,0.179
afm_basic_model_2_multimer_v3_pred_10.pdb,0.179
afm_dropout_full_model_5_multimer_v3_pred_31.pdb,0.178
afm_basic_model_5_multimer_v3_pred_15.pdb,0.178
afm_basic_model_1_multimer_v2_pred_35.pdb,0.178
afm_dropout_full_model_1_multimer_v3_pred_19.pdb,0.178
afm_dropout_full_model_2_multimer_v3_pred_58.pdb,0.178
afm_basic_model_4_multimer_v3_pred_19.pdb,0.178
afm_basic_model_5_multimer_v3_pred_48.pdb,0.178
afm_basic_model_2_multimer_v3_pred_22.pdb,0.178
afm_basic_model_1_multimer_v3_pred_20.pdb,0.178
afm_dropout_full_model_5_multimer_v3_pred_16.pdb,0.178
afm_dropout_full_model_2_multimer_v3_pred_11.pdb,0.177
afm_dropout_full_model_5_multimer_v3_pred_34.pdb,0.177
afm_dropout_full_model_2_multimer_v3_pred_39.pdb,0.177
afm_basic_model_1_multimer_v3_pred_63.pdb,0.177
afm_dropout_full_model_1_multimer_v3_pred_25.pdb,0.177
afm_basic_model_5_multimer_v3_pred_20.pdb,0.177
afm_dropout_full_model_5_multimer_v3_pred_53.pdb,0.177
afm_basic_model_5_multimer_v3_pred_61.pdb,0.177
afm_basic_model_2_multimer_v3_pred_50.pdb,0.177
afm_basic_model_2_multimer_v3_pred_54.pdb,0.177
afm_dropout_full_model_1_multimer_v3_pred_62.pdb,0.177
afm_basic_model_1_multimer_v3_pred_57.pdb,0.177
afm_basic_model_5_multimer_v3_pred_14.pdb,0.177
afm_dropout_full_model_5_multimer_v3_pred_15.pdb,0.177
afm_dropout_full_model_2_multimer_v3_pred_14.pdb,0.177
afm_basic_model_3_multimer_v3_pred_34.pdb,0.177
afm_basic_model_1_multimer_v2_pred_58.pdb,0.177
afm_basic_model_1_multimer_v3_pred_30.pdb,0.177
afm_basic_model_3_multimer_v1_pred_15.pdb,0.177
afm_basic_model_1_multimer_v2_pred_0.pdb,0.177
afm_basic_model_5_multimer_v3_pred_28.pdb,0.177
afm_dropout_full_model_2_multimer_v3_pred_63.pdb,0.177
afm_basic_model_5_multimer_v3_pred_1.pdb,0.176
afm_basic_model_1_multimer_v3_pred_19.pdb,0.176
afm_dropout_full_model_5_multimer_v3_pred_64.pdb,0.176
afm_basic_model_1_multimer_v3_pred_51.pdb,0.176
afm_basic_model_5_multimer_v3_pred_31.pdb,0.176
afm_basic_model_5_multimer_v3_pred_23.pdb,0.176
afm_basic_model_5_multimer_v3_pred_33.pdb,0.176
afm_basic_model_1_multimer_v3_pred_36.pdb,0.176
afm_dropout_full_model_1_multimer_v3_pred_60.pdb,0.176
afm_dropout_full_model_5_multimer_v3_pred_54.pdb,0.176
afm_basic_model_2_multimer_v3_pred_31.pdb,0.176
afm_dropout_full_model_2_multimer_v3_pred_20.pdb,0.176
afm_dropout_full_model_5_multimer_v3_pred_40.pdb,0.176
afm_basic_model_2_multimer_v3_pred_64.pdb,0.176
afm_basic_model_5_multimer_v3_pred_8.pdb,0.176
afm_basic_model_2_multimer_v3_pred_15.pdb,0.176
afm_basic_model_5_multimer_v3_pred_22.pdb,0.176
afm_basic_model_5_multimer_v3_pred_39.pdb,0.176
afm_basic_model_5_multimer_v3_pred_64.pdb,0.175
