model_name,oligo_gdtts
afm_dropout_full_model_5_multimer_v3_pred_20.pdb,0.785
afm_basic_model_3_multimer_v3_pred_23.pdb,0.785
afm_dropout_full_model_3_multimer_v3_pred_35.pdb,0.785
afm_dropout_full_model_2_multimer_v3_pred_41.pdb,0.785
afm_dropout_full_model_2_multimer_v3_pred_31.pdb,0.785
afm_dropout_full_model_2_multimer_v3_pred_18.pdb,0.784
afm_dropout_full_model_3_multimer_v3_pred_27.pdb,0.784
afm_basic_model_2_multimer_v3_pred_18.pdb,0.784
afm_dropout_full_model_2_multimer_v3_pred_57.pdb,0.784
afm_basic_model_4_multimer_v3_pred_24.pdb,0.783
afm_dropout_full_model_5_multimer_v3_pred_47.pdb,0.783
afm_basic_model_4_multimer_v3_pred_2.pdb,0.783
afm_dropout_full_model_3_multimer_v3_pred_0.pdb,0.783
afm_basic_model_2_multimer_v3_pred_6.pdb,0.782
afm_basic_model_3_multimer_v3_pred_63.pdb,0.782
afm_dropout_full_model_5_multimer_v3_pred_29.pdb,0.782
afm_basic_model_3_multimer_v3_pred_4.pdb,0.782
afm_dropout_full_model_5_multimer_v3_pred_28.pdb,0.782
afm_dropout_full_model_2_multimer_v3_pred_44.pdb,0.782
afm_dropout_full_model_5_multimer_v3_pred_7.pdb,0.782
afm_basic_model_3_multimer_v3_pred_33.pdb,0.781
afm_basic_model_2_multimer_v3_pred_43.pdb,0.781
afm_dropout_full_model_5_multimer_v3_pred_35.pdb,0.78
afm_basic_model_3_multimer_v3_pred_52.pdb,0.78
afm_basic_model_3_multimer_v3_pred_42.pdb,0.779
afm_dropout_full_model_5_multimer_v3_pred_27.pdb,0.779
afm_dropout_full_model_2_multimer_v3_pred_1.pdb,0.779
afm_dropout_full_model_5_multimer_v3_pred_38.pdb,0.779
afm_basic_model_5_multimer_v3_pred_50.pdb,0.779
afm_dropout_full_model_3_multimer_v3_pred_3.pdb,0.779
afm_dropout_full_model_3_multimer_v3_pred_7.pdb,0.779
afm_basic_model_5_multimer_v3_pred_62.pdb,0.779
afm_dropout_full_model_5_multimer_v3_pred_17.pdb,0.778
afm_basic_model_3_multimer_v3_pred_13.pdb,0.778
afm_dropout_full_model_3_multimer_v3_pred_17.pdb,0.778
afm_dropout_full_model_5_multimer_v3_pred_34.pdb,0.777
afm_dropout_full_model_5_multimer_v3_pred_10.pdb,0.777
afm_dropout_full_model_5_multimer_v3_pred_56.pdb,0.777
afm_dropout_full_model_2_multimer_v3_pred_66.pdb,0.777
afm_dropout_full_model_5_multimer_v3_pred_1.pdb,0.776
afm_dropout_full_model_1_multimer_v3_pred_49.pdb,0.776
afm_dropout_full_model_3_multimer_v3_pred_64.pdb,0.775
afm_dropout_full_model_5_multimer_v3_pred_25.pdb,0.775
afm_basic_model_5_multimer_v3_pred_49.pdb,0.775
afm_basic_model_2_multimer_v3_pred_23.pdb,0.775
afm_dropout_full_model_5_multimer_v3_pred_18.pdb,0.775
afm_basic_model_3_multimer_v3_pred_16.pdb,0.775
afm_dropout_full_model_5_multimer_v3_pred_2.pdb,0.775
afm_basic_model_5_multimer_v3_pred_55.pdb,0.774
afm_basic_model_5_multimer_v3_pred_19.pdb,0.774
afm_dropout_full_model_2_multimer_v3_pred_55.pdb,0.774
afm_basic_model_3_multimer_v3_pred_20.pdb,0.774
afm_basic_model_2_multimer_v3_pred_21.pdb,0.773
afm_basic_model_3_multimer_v3_pred_58.pdb,0.772
afm_dropout_full_model_5_multimer_v3_pred_66.pdb,0.772
afm_dropout_full_model_5_multimer_v3_pred_52.pdb,0.772
afm_basic_model_5_multimer_v3_pred_27.pdb,0.772
afm_basic_model_5_multimer_v3_pred_52.pdb,0.771
afm_dropout_full_model_5_multimer_v3_pred_50.pdb,0.771
afm_basic_model_3_multimer_v3_pred_64.pdb,0.771
afm_basic_model_2_multimer_v3_pred_44.pdb,0.771
afm_dropout_full_model_5_multimer_v3_pred_58.pdb,0.771
