model_name,ilddt
cf_dropout_full_woTemplates_model_2_multimer_v3_pred_53.pdb,0.549
afm_basic_model_4_multimer_v3_pred_19.pdb,0.497
afm_basic_model_4_multimer_v3_pred_40.pdb,0.497
cf_dropout_full_woTemplates_model_3_multimer_v3_pred_41.pdb,0.49
afm_basic_model_4_multimer_v3_pred_53.pdb,0.487
afm_basic_model_4_multimer_v3_pred_62.pdb,0.485
afm_basic_model_4_multimer_v3_pred_59.pdb,0.479
afm_basic_model_4_multimer_v3_pred_38.pdb,0.476
afm_basic_model_4_multimer_v3_pred_42.pdb,0.475
afm_basic_model_4_multimer_v3_pred_43.pdb,0.473
afm_dropout_full_model_4_multimer_v3_pred_38.pdb,0.467
afm_basic_model_4_multimer_v3_pred_13.pdb,0.463
afm_basic_model_4_multimer_v3_pred_64.pdb,0.462
afm_basic_model_4_multimer_v3_pred_41.pdb,0.462
afm_dropout_full_model_4_multimer_v3_pred_4.pdb,0.461
afm_basic_model_4_multimer_v3_pred_17.pdb,0.46
afm_dropout_full_model_4_multimer_v3_pred_27.pdb,0.46
afm_dropout_full_model_4_multimer_v3_pred_0.pdb,0.459
afm_dropout_full_model_4_multimer_v3_pred_14.pdb,0.459
afm_dropout_full_model_2_multimer_v3_pred_15.pdb,0.458
afm_dropout_full_model_2_multimer_v3_pred_51.pdb,0.457
afm_basic_model_4_multimer_v3_pred_5.pdb,0.457
afm_basic_model_4_multimer_v3_pred_34.pdb,0.457
afm_basic_model_3_multimer_v3_pred_34.pdb,0.457
afm_dropout_full_model_2_multimer_v3_pred_33.pdb,0.456
afm_basic_model_4_multimer_v3_pred_11.pdb,0.456
afm_basic_model_4_multimer_v3_pred_6.pdb,0.455
afm_dropout_full_model_4_multimer_v3_pred_11.pdb,0.454
afm_dropout_full_model_4_multimer_v3_pred_10.pdb,0.454
afm_dropout_full_model_4_multimer_v3_pred_63.pdb,0.453
afm_dropout_full_model_4_multimer_v3_pred_42.pdb,0.452
afm_dropout_full_model_4_multimer_v3_pred_32.pdb,0.452
afm_dropout_full_model_4_multimer_v3_pred_39.pdb,0.451
afm_dropout_full_model_4_multimer_v3_pred_52.pdb,0.451
afm_basic_model_5_multimer_v3_pred_22.pdb,0.451
afm_dropout_full_model_2_multimer_v3_pred_39.pdb,0.45
afm_dropout_full_model_4_multimer_v3_pred_28.pdb,0.45
afm_basic_model_4_multimer_v3_pred_30.pdb,0.45
afm_basic_model_4_multimer_v3_pred_29.pdb,0.45
afm_dropout_full_model_2_multimer_v3_pred_62.pdb,0.449
afm_basic_model_4_multimer_v3_pred_7.pdb,0.448
afm_dropout_full_model_4_multimer_v3_pred_48.pdb,0.447
afm_dropout_full_model_4_multimer_v3_pred_66.pdb,0.447
afm_basic_model_4_multimer_v3_pred_52.pdb,0.446
afm_basic_model_4_multimer_v3_pred_16.pdb,0.446
afm_dropout_full_model_4_multimer_v3_pred_35.pdb,0.445
afm_basic_model_4_multimer_v3_pred_57.pdb,0.445
afm_dropout_full_model_4_multimer_v3_pred_37.pdb,0.445
afm_dropout_full_model_2_multimer_v3_pred_23.pdb,0.445
afm_dropout_full_model_3_multimer_v3_pred_16.pdb,0.444
afm_basic_model_4_multimer_v3_pred_33.pdb,0.444
afm_basic_model_4_multimer_v3_pred_3.pdb,0.444
afm_dropout_full_model_4_multimer_v3_pred_41.pdb,0.443
afm_dropout_full_model_4_multimer_v3_pred_9.pdb,0.443
afm_basic_model_4_multimer_v3_pred_31.pdb,0.443
afm_basic_model_4_multimer_v3_pred_49.pdb,0.443
afm_basic_model_4_multimer_v3_pred_61.pdb,0.442
afm_basic_model_4_multimer_v3_pred_1.pdb,0.442
afm_basic_model_4_multimer_v3_pred_18.pdb,0.442
afm_basic_model_4_multimer_v3_pred_27.pdb,0.442
afm_dropout_full_model_4_multimer_v3_pred_64.pdb,0.441
afm_dropout_full_model_4_multimer_v3_pred_57.pdb,0.441
afm_basic_model_4_multimer_v3_pred_45.pdb,0.441
afm_dropout_full_model_2_multimer_v3_pred_25.pdb,0.441
afm_dropout_full_model_2_multimer_v3_pred_49.pdb,0.441
afm_basic_model_4_multimer_v3_pred_63.pdb,0.441
afm_basic_model_4_multimer_v3_pred_8.pdb,0.441
afm_basic_model_4_multimer_v3_pred_47.pdb,0.44
afm_basic_model_5_multimer_v3_pred_63.pdb,0.44
afm_dropout_full_model_4_multimer_v3_pred_19.pdb,0.44
afm_basic_model_4_multimer_v3_pred_26.pdb,0.44
afm_dropout_full_model_4_multimer_v3_pred_46.pdb,0.44
afm_basic_model_4_multimer_v3_pred_22.pdb,0.44
afm_dropout_full_model_4_multimer_v3_pred_1.pdb,0.44
afm_dropout_full_model_4_multimer_v3_pred_49.pdb,0.44
afm_dropout_full_model_4_multimer_v3_pred_40.pdb,0.439
afm_dropout_full_model_4_multimer_v3_pred_23.pdb,0.439
afm_basic_model_4_multimer_v3_pred_46.pdb,0.439
afm_dropout_full_model_2_multimer_v3_pred_54.pdb,0.438
afm_dropout_full_model_4_multimer_v3_pred_2.pdb,0.438
afm_dropout_full_model_2_multimer_v3_pred_38.pdb,0.437
afm_dropout_full_model_4_multimer_v3_pred_7.pdb,0.437
afm_basic_model_4_multimer_v3_pred_21.pdb,0.437
afm_dropout_full_model_4_multimer_v3_pred_18.pdb,0.437
