model_name,dockq_ave
cf_woTemplates_model_2_multimer_v3_pred_0.pdb,0.633
afm_woTemplates_model_3_multimer_v3_pred_2.pdb,0.633
cf_dropout_full_woTemplates_model_2_multimer_v3_pred_2.pdb,0.632
cf_woTemplates_model_2_multimer_v3_pred_4.pdb,0.632
afm_dropout_noSM_woTemplates_model_5_multimer_v3_pred_4.pdb,0.631
cf_dropout_full_woTemplates_model_1_multimer_v3_pred_2.pdb,0.631
afm_dropout_full_woTemplates_model_2_multimer_v3_pred_4.pdb,0.63
cf_dropout_full_woTemplates_model_5_multimer_v3_pred_0.pdb,0.63
afm_woTemplates_model_2_multimer_v3_pred_0.pdb,0.63
afm_dropout_noSM_woTemplates_model_5_multimer_v3_pred_3.pdb,0.629
afm_woTemplates_model_2_multimer_v3_pred_2.pdb,0.629
cf_dropout_full_woTemplates_model_2_multimer_v3_pred_1.pdb,0.628
cf_woTemplates_model_5_multimer_v3_pred_3.pdb,0.628
afm_dropout_noSM_woTemplates_model_2_multimer_v3_pred_0.pdb,0.628
afm_dropout_full_woTemplates_model_5_multimer_v3_pred_4.pdb,0.627
afm_dropout_full_woTemplates_model_3_multimer_v3_pred_4.pdb,0.623
afm_dropout_noSM_woTemplates_model_3_multimer_v3_pred_4.pdb,0.623
cf_woTemplates_model_3_multimer_v3_pred_1.pdb,0.622
afm_woTemplates_model_5_multimer_v3_pred_1.pdb,0.622
afm_dropout_noSM_woTemplates_model_5_multimer_v3_pred_2.pdb,0.622
afm_dropout_noSM_woTemplates_model_2_multimer_v3_pred_3.pdb,0.621
afm_dropout_full_woTemplates_model_5_multimer_v3_pred_2.pdb,0.621
afm_dropout_full_woTemplates_model_2_multimer_v3_pred_1.pdb,0.62
afm_woTemplates_model_5_multimer_v3_pred_3.pdb,0.619
cf_woTemplates_model_5_multimer_v3_pred_2.pdb,0.619
afm_woTemplates_model_5_multimer_v3_pred_4.pdb,0.619
afm_woTemplates_model_5_multimer_v3_pred_2.pdb,0.618
afm_dropout_noSM_woTemplates_model_3_multimer_v3_pred_1.pdb,0.618
afm_dropout_full_woTemplates_model_3_multimer_v3_pred_2.pdb,0.618
cf_dropout_full_woTemplates_model_3_multimer_v3_pred_0.pdb,0.618
afm_dropout_full_woTemplates_model_5_multimer_v3_pred_0.pdb,0.616
afm_woTemplates_model_5_multimer_v3_pred_0.pdb,0.616
afm_dropout_full_woTemplates_model_3_multimer_v3_pred_3.pdb,0.615
cf_dropout_full_woTemplates_model_3_multimer_v3_pred_3.pdb,0.615
afm_woTemplates_model_3_multimer_v3_pred_1.pdb,0.614
afm_dropout_full_woTemplates_model_5_multimer_v3_pred_1.pdb,0.613
afm_woTemplates_model_3_multimer_v3_pred_0.pdb,0.612
afm_woTemplates_model_3_multimer_v3_pred_3.pdb,0.608
cf_dropout_full_woTemplates_model_3_multimer_v3_pred_4.pdb,0.603
afm_woTemplates_model_3_multimer_v3_pred_4.pdb,0.602
afm_dropout_full_woTemplates_model_3_multimer_v3_pred_1.pdb,0.601
cf_dropout_full_woTemplates_model_3_multimer_v3_pred_1.pdb,0.6
afm_dropout_full_woTemplates_model_3_multimer_v3_pred_0.pdb,0.593
afm_basic_model_5_multimer_v2_pred_1.pdb,0.575
afm_basic_model_5_multimer_v2_pred_4.pdb,0.564
afm_basic_model_5_multimer_v2_pred_3.pdb,0.562
