model_name,ips
afm_basic_model_4_multimer_v3_pred_0.pdb,0.74
afm_dropout_full_woTemplates_model_4_multimer_v3_pred_3.pdb,0.736
afm_basic_model_4_multimer_v3_pred_2.pdb,0.736
afm_dropout_noSM_woTemplates_model_4_multimer_v3_pred_3.pdb,0.73
afm_dropout_full_woTemplates_model_4_multimer_v3_pred_0.pdb,0.729
afm_dropout_full_model_4_multimer_v3_pred_1.pdb,0.728
afm_woTemplates_model_4_multimer_v3_pred_2.pdb,0.728
afm_dropout_noSM_woTemplates_model_4_multimer_v3_pred_1.pdb,0.725
afm_dropout_full_model_4_multimer_v3_pred_0.pdb,0.724
afm_dropout_noSM_woTemplates_model_4_multimer_v3_pred_2.pdb,0.716
afm_dropout_full_woTemplates_model_2_multimer_v3_pred_4.pdb,0.715
afm_woTemplates_model_4_multimer_v3_pred_3.pdb,0.715
afm_basic_model_4_multimer_v3_pred_3.pdb,0.707
afm_basic_model_4_multimer_v3_pred_4.pdb,0.706
cf_dropout_full_woTemplates_model_4_multimer_v3_pred_4.pdb,0.701
afm_woTemplates_model_4_multimer_v3_pred_1.pdb,0.697
afm_dropout_full_model_2_multimer_v3_pred_1.pdb,0.696
cf_woTemplates_model_2_multimer_v3_pred_0.pdb,0.694
afm_dropout_full_woTemplates_model_2_multimer_v3_pred_0.pdb,0.689
afm_basic_model_2_multimer_v3_pred_1.pdb,0.688
afm_dropout_full_model_4_multimer_v3_pred_3.pdb,0.687
afm_dropout_full_model_4_multimer_v3_pred_2.pdb,0.67
afm_dropout_full_model_2_multimer_v3_pred_3.pdb,0.67
afm_basic_model_4_multimer_v3_pred_1.pdb,0.669
afm_woTemplates_model_2_multimer_v3_pred_4.pdb,0.669
afm_dropout_full_model_1_multimer_v3_pred_4.pdb,0.666
afm_dropout_full_model_2_multimer_v3_pred_0.pdb,0.663
afm_basic_model_2_multimer_v3_pred_2.pdb,0.662
afm_basic_model_2_multimer_v3_pred_3.pdb,0.66
afm_woTemplates_model_2_multimer_v3_pred_3.pdb,0.657
afm_basic_model_2_multimer_v3_pred_0.pdb,0.656
afm_dropout_full_model_4_multimer_v3_pred_4.pdb,0.656
afm_basic_model_1_multimer_v2_pred_4.pdb,0.653
afm_basic_model_1_multimer_v2_pred_3.pdb,0.652
afm_woTemplates_model_2_multimer_v3_pred_1.pdb,0.651
afm_woTemplates_model_4_multimer_v3_pred_4.pdb,0.651
afm_woTemplates_model_2_multimer_v3_pred_2.pdb,0.649
afm_dropout_full_woTemplates_model_1_multimer_v3_pred_1.pdb,0.649
cf_dropout_full_woTemplates_model_4_multimer_v3_pred_2.pdb,0.649
afm_woTemplates_model_1_multimer_v3_pred_3.pdb,0.645
afm_woTemplates_model_4_multimer_v3_pred_0.pdb,0.644
afm_dropout_full_woTemplates_model_1_multimer_v3_pred_0.pdb,0.643
afm_dropout_full_model_1_multimer_v3_pred_3.pdb,0.638
afm_basic_model_5_multimer_v2_pred_2.pdb,0.638
afm_basic_model_1_multimer_v2_pred_1.pdb,0.635
afm_basic_model_5_multimer_v2_pred_4.pdb,0.635
afm_basic_model_1_multimer_v3_pred_2.pdb,0.633
afm_basic_model_1_multimer_v2_pred_2.pdb,0.63
afm_basic_model_5_multimer_v2_pred_0.pdb,0.629
afm_basic_model_1_multimer_v3_pred_3.pdb,0.627
