model_name,ics
afm_dropout_noSM_woTemplates_model_2_multimer_v3_pred_0.pdb,0.368
afm_basic_model_3_multimer_v2_pred_1.pdb,0.367
cf_dropout_full_woTemplates_model_1_multimer_v3_pred_3.pdb,0.366
afm_dropout_full_model_5_multimer_v3_pred_1.pdb,0.362
cf_dropout_full_woTemplates_model_1_multimer_v2_pred_3.pdb,0.355
afm_dropout_full_woTemplates_model_1_multimer_v3_pred_3.pdb,0.353
afm_basic_model_4_multimer_v2_pred_0.pdb,0.352
afm_woTemplates_model_5_multimer_v2_pred_0.pdb,0.351
afm_dropout_full_woTemplates_model_4_multimer_v3_pred_1.pdb,0.345
cf_woTemplates_model_4_multimer_v2_pred_1.pdb,0.34
afm_woTemplates_model_3_multimer_v2_pred_0.pdb,0.339
afm_dropout_full_model_5_multimer_v3_pred_2.pdb,0.338
cf_dropout_full_woTemplates_model_5_multimer_v3_pred_0.pdb,0.331
afm_basic_model_3_multimer_v2_pred_3.pdb,0.328
afm_dropout_full_woTemplates_model_5_multimer_v3_pred_2.pdb,0.328
afm_dropout_full_model_1_multimer_v2_pred_4.pdb,0.323
cf_dropout_full_woTemplates_model_2_multimer_v3_pred_2.pdb,0.322
afm_basic_model_1_multimer_v3_pred_4.pdb,0.321
afm_dropout_full_model_1_multimer_v2_pred_2.pdb,0.32
afm_basic_model_3_multimer_v2_pred_4.pdb,0.311
afm_woTemplates_model_5_multimer_v2_pred_2.pdb,0.306
cf_dropout_full_woTemplates_model_1_multimer_v2_pred_2.pdb,0.292
afm_dropout_full_woTemplates_model_4_multimer_v3_pred_2.pdb,0.284
afm_woTemplates_model_5_multimer_v3_pred_4.pdb,0.283
afm_woTemplates_model_5_multimer_v2_pred_3.pdb,0.281
afm_woTemplates_model_3_multimer_v2_pred_2.pdb,0.277
afm_dropout_full_woTemplates_model_5_multimer_v3_pred_3.pdb,0.276
afm_dropout_noSM_woTemplates_model_1_multimer_v3_pred_1.pdb,0.274
cf_woTemplates_model_2_multimer_v3_pred_4.pdb,0.274
afm_woTemplates_model_5_multimer_v2_pred_4.pdb,0.273
afm_basic_model_4_multimer_v2_pred_3.pdb,0.27
afm_dropout_full_woTemplates_model_1_multimer_v2_pred_3.pdb,0.268
afm_dropout_full_model_1_multimer_v2_pred_3.pdb,0.267
cf_dropout_full_woTemplates_model_4_multimer_v3_pred_3.pdb,0.262
afm_dropout_full_woTemplates_model_1_multimer_v2_pred_0.pdb,0.259
afm_dropout_full_woTemplates_model_5_multimer_v3_pred_4.pdb,0.258
afm_dropout_full_woTemplates_model_2_multimer_v3_pred_1.pdb,0.252
afm_dropout_full_woTemplates_model_1_multimer_v2_pred_1.pdb,0.252
afm_woTemplates_model_3_multimer_v2_pred_3.pdb,0.248
cf_dropout_full_woTemplates_model_2_multimer_v3_pred_1.pdb,0.245
afm_dropout_full_model_1_multimer_v2_pred_0.pdb,0.241
cf_woTemplates_model_5_multimer_v3_pred_4.pdb,0.23
afm_dropout_full_model_1_multimer_v2_pred_1.pdb,0.229
cf_dropout_full_woTemplates_model_1_multimer_v2_pred_4.pdb,0.226
afm_dropout_full_model_3_multimer_v3_pred_3.pdb,0.225
afm_dropout_full_model_3_multimer_v3_pred_2.pdb,0.223
afm_dropout_full_model_3_multimer_v3_pred_4.pdb,0.223
afm_woTemplates_model_3_multimer_v2_pred_1.pdb,0.222
afm_dropout_full_model_5_multimer_v3_pred_0.pdb,0.221
afm_basic_model_4_multimer_v2_pred_1.pdb,0.219
afm_dropout_full_woTemplates_model_3_multimer_v3_pred_1.pdb,0.218
afm_dropout_full_woTemplates_model_1_multimer_v2_pred_4.pdb,0.217
afm_woTemplates_model_4_multimer_v2_pred_4.pdb,0.216
cf_woTemplates_model_5_multimer_v3_pred_2.pdb,0.215
afm_woTemplates_model_4_multimer_v2_pred_3.pdb,0.214
afm_basic_model_3_multimer_v3_pred_2.pdb,0.213
afm_basic_model_4_multimer_v2_pred_4.pdb,0.21
afm_dropout_full_model_3_multimer_v3_pred_0.pdb,0.206
afm_basic_model_3_multimer_v2_pred_2.pdb,0.203
afm_basic_model_3_multimer_v3_pred_3.pdb,0.203
afm_woTemplates_model_2_multimer_v2_pred_4.pdb,0.202
afm_basic_model_2_multimer_v2_pred_0.pdb,0.201
cf_dropout_full_woTemplates_model_3_multimer_v2_pred_1.pdb,0.197
afm_basic_model_3_multimer_v3_pred_0.pdb,0.193
afm_dropout_full_woTemplates_model_3_multimer_v3_pred_0.pdb,0.193
