model_name,oligo_gdtha
afm_dropout_full_model_5_multimer_v3_pred_1.pdb,0.394
afm_dropout_full_woTemplates_model_2_multimer_v3_pred_0.pdb,0.394
afm_basic_model_5_multimer_v3_pred_1.pdb,0.389
afm_dropout_full_model_5_multimer_v3_pred_2.pdb,0.389
afm_dropout_noSM_woTemplates_model_2_multimer_v3_pred_0.pdb,0.387
afm_dropout_full_model_3_multimer_v3_pred_0.pdb,0.384
afm_dropout_noSM_woTemplates_model_5_multimer_v3_pred_4.pdb,0.383
afm_dropout_noSM_woTemplates_model_2_multimer_v3_pred_3.pdb,0.383
afm_basic_model_5_multimer_v3_pred_4.pdb,0.382
afm_dropout_full_model_5_multimer_v3_pred_0.pdb,0.379
afm_dropout_full_model_2_multimer_v3_pred_2.pdb,0.378
afm_woTemplates_model_2_multimer_v3_pred_2.pdb,0.377
afm_dropout_full_woTemplates_model_2_multimer_v3_pred_1.pdb,0.374
cf_dropout_full_woTemplates_model_5_multimer_v3_pred_0.pdb,0.36
cf_woTemplates_model_5_multimer_v3_pred_4.pdb,0.352
afm_dropout_noSM_woTemplates_model_5_multimer_v3_pred_2.pdb,0.352
afm_dropout_full_woTemplates_model_5_multimer_v3_pred_4.pdb,0.351
afm_woTemplates_model_5_multimer_v3_pred_4.pdb,0.346
afm_dropout_noSM_woTemplates_model_3_multimer_v3_pred_4.pdb,0.342
afm_dropout_full_woTemplates_model_3_multimer_v3_pred_3.pdb,0.337
cf_dropout_full_woTemplates_model_3_multimer_v3_pred_4.pdb,0.335
cf_woTemplates_model_5_multimer_v3_pred_3.pdb,0.335
afm_dropout_full_woTemplates_model_5_multimer_v3_pred_2.pdb,0.335
afm_dropout_full_woTemplates_model_3_multimer_v3_pred_4.pdb,0.334
afm_dropout_full_woTemplates_model_5_multimer_v3_pred_1.pdb,0.333
afm_dropout_noSM_woTemplates_model_5_multimer_v3_pred_3.pdb,0.332
cf_woTemplates_model_3_multimer_v3_pred_1.pdb,0.332
afm_dropout_full_woTemplates_model_3_multimer_v3_pred_2.pdb,0.331
afm_basic_model_5_multimer_v2_pred_1.pdb,0.329
cf_woTemplates_model_5_multimer_v3_pred_2.pdb,0.326
afm_dropout_full_woTemplates_model_5_multimer_v3_pred_0.pdb,0.325
afm_woTemplates_model_3_multimer_v3_pred_1.pdb,0.324
afm_basic_model_5_multimer_v2_pred_4.pdb,0.323
afm_dropout_noSM_woTemplates_model_3_multimer_v3_pred_1.pdb,0.322
cf_dropout_full_woTemplates_model_3_multimer_v3_pred_1.pdb,0.322
afm_woTemplates_model_5_multimer_v3_pred_1.pdb,0.321
cf_dropout_full_woTemplates_model_3_multimer_v3_pred_0.pdb,0.321
afm_dropout_full_woTemplates_model_3_multimer_v3_pred_1.pdb,0.32
afm_woTemplates_model_3_multimer_v3_pred_0.pdb,0.319
cf_dropout_full_woTemplates_model_3_multimer_v3_pred_3.pdb,0.315
afm_basic_model_5_multimer_v2_pred_2.pdb,0.315
afm_woTemplates_model_5_multimer_v3_pred_3.pdb,0.313
afm_woTemplates_model_3_multimer_v3_pred_4.pdb,0.313
afm_basic_model_5_multimer_v2_pred_0.pdb,0.31
afm_woTemplates_model_3_multimer_v3_pred_3.pdb,0.309
afm_woTemplates_model_5_multimer_v3_pred_2.pdb,0.308
afm_woTemplates_model_5_multimer_v3_pred_0.pdb,0.308
afm_dropout_full_woTemplates_model_3_multimer_v3_pred_0.pdb,0.306
afm_basic_model_5_multimer_v2_pred_3.pdb,0.303
afm_basic_model_1_multimer_v2_pred_4.pdb,0.262
afm_basic_model_1_multimer_v2_pred_3.pdb,0.256
cf_woTemplates_model_1_multimer_v2_pred_4.pdb,0.254
afm_basic_model_1_multimer_v2_pred_1.pdb,0.25
afm_basic_model_1_multimer_v2_pred_0.pdb,0.249
afm_basic_model_1_multimer_v2_pred_2.pdb,0.248
afm_basic_model_2_multimer_v2_pred_2.pdb,0.239
afm_woTemplates_model_1_multimer_v2_pred_4.pdb,0.238
afm_woTemplates_model_1_multimer_v2_pred_3.pdb,0.235
afm_woTemplates_model_1_multimer_v2_pred_1.pdb,0.229
afm_woTemplates_model_1_multimer_v2_pred_0.pdb,0.223
afm_basic_model_3_multimer_v2_pred_1.pdb,0.207
afm_basic_model_2_multimer_v2_pred_0.pdb,0.199
afm_basic_model_2_multimer_v2_pred_3.pdb,0.185
afm_woTemplates_model_1_multimer_v2_pred_2.pdb,0.179
afm_basic_model_2_multimer_v2_pred_4.pdb,0.174
afm_basic_model_2_multimer_v2_pred_1.pdb,0.165
afm_basic_model_3_multimer_v2_pred_4.pdb,0.156
afm_dropout_full_model_1_multimer_v2_pred_2.pdb,0.154
afm_basic_model_3_multimer_v2_pred_3.pdb,0.138
afm_basic_model_4_multimer_v2_pred_0.pdb,0.136
afm_basic_model_4_multimer_v2_pred_3.pdb,0.135
afm_dropout_full_model_1_multimer_v2_pred_4.pdb,0.126
afm_dropout_full_model_4_multimer_v2_pred_4.pdb,0.112
afm_basic_model_4_multimer_v2_pred_2.pdb,0.11
afm_basic_model_3_multimer_v2_pred_0.pdb,0.11
afm_basic_model_3_multimer_v2_pred_2.pdb,0.109
afm_dropout_full_model_3_multimer_v2_pred_1.pdb,0.109
afm_basic_model_4_multimer_v2_pred_1.pdb,0.108
afm_basic_model_4_multimer_v2_pred_4.pdb,0.107
afm_dropout_full_model_1_multimer_v2_pred_1.pdb,0.104
afm_dropout_full_model_1_multimer_v2_pred_3.pdb,0.104
afm_dropout_full_model_3_multimer_v2_pred_4.pdb,0.102
afm_dropout_full_model_3_multimer_v2_pred_2.pdb,0.1
afm_dropout_full_model_1_multimer_v2_pred_0.pdb,0.095
cf_dropout_full_woTemplates_model_1_multimer_v2_pred_3.pdb,0.093
afm_dropout_full_model_5_multimer_v2_pred_4.pdb,0.092
afm_dropout_full_model_2_multimer_v2_pred_1.pdb,0.091
afm_dropout_full_model_3_multimer_v2_pred_0.pdb,0.089
