model_name,rmsd
cf_woTemplates_model_5_multimer_v3_pred_6.pdb,1.125
cf_woTemplates_model_3_multimer_v2_pred_55.pdb,1.124
cf_dropout_full_woTemplates_model_5_multimer_v2_pred_12.pdb,1.124
cf_woTemplates_model_1_multimer_v3_pred_61.pdb,1.122
cf_dropout_full_woTemplates_model_4_multimer_v2_pred_29.pdb,1.121
cf_woTemplates_model_4_multimer_v3_pred_16.pdb,1.12
cf_woTemplates_model_4_multimer_v2_pred_58.pdb,1.117
cf_woTemplates_model_2_multimer_v2_pred_0.pdb,1.116
cf_dropout_full_woTemplates_model_1_multimer_v1_pred_57.pdb,1.115
cf_woTemplates_model_2_multimer_v1_pred_33.pdb,1.114
cf_dropout_full_woTemplates_model_4_multimer_v1_pred_8.pdb,1.113
cf_woTemplates_model_2_multimer_v1_pred_40.pdb,1.113
cf_dropout_full_woTemplates_model_5_multimer_v1_pred_16.pdb,1.113
cf_woTemplates_model_3_multimer_v3_pred_20.pdb,1.112
cf_woTemplates_model_1_multimer_v1_pred_45.pdb,1.111
cf_dropout_full_woTemplates_model_4_multimer_v1_pred_65.pdb,1.109
cf_woTemplates_model_1_multimer_v1_pred_53.pdb,1.109
cf_woTemplates_model_1_multimer_v2_pred_41.pdb,1.105
cf_woTemplates_model_3_multimer_v1_pred_23.pdb,1.104
cf_woTemplates_model_3_multimer_v1_pred_39.pdb,1.102
cf_woTemplates_model_5_multimer_v2_pred_52.pdb,1.102
cf_dropout_full_woTemplates_model_5_multimer_v1_pred_1.pdb,1.1
cf_dropout_full_woTemplates_model_5_multimer_v2_pred_41.pdb,1.1
cf_woTemplates_model_2_multimer_v2_pred_5.pdb,1.1
cf_woTemplates_model_4_multimer_v2_pred_39.pdb,1.098
cf_dropout_full_woTemplates_model_1_multimer_v2_pred_27.pdb,1.097
cf_dropout_full_woTemplates_model_2_multimer_v1_pred_14.pdb,1.096
cf_woTemplates_model_2_multimer_v1_pred_0.pdb,1.095
cf_woTemplates_model_3_multimer_v1_pred_32.pdb,1.095
cf_woTemplates_model_2_multimer_v2_pred_17.pdb,1.094
cf_dropout_full_woTemplates_model_4_multimer_v2_pred_28.pdb,1.092
cf_woTemplates_model_2_multimer_v3_pred_49.pdb,1.091
cf_woTemplates_model_5_multimer_v2_pred_44.pdb,1.09
cf_dropout_full_woTemplates_model_4_multimer_v2_pred_26.pdb,1.09
cf_dropout_full_woTemplates_model_3_multimer_v1_pred_18.pdb,1.089
cf_dropout_full_woTemplates_model_4_multimer_v2_pred_15.pdb,1.088
cf_dropout_full_woTemplates_model_2_multimer_v1_pred_66.pdb,1.088
cf_woTemplates_model_3_multimer_v1_pred_3.pdb,1.085
cf_dropout_full_woTemplates_model_2_multimer_v1_pred_29.pdb,1.085
cf_dropout_full_woTemplates_model_2_multimer_v2_pred_46.pdb,1.084
cf_woTemplates_model_1_multimer_v3_pred_13.pdb,1.083
cf_woTemplates_model_4_multimer_v2_pred_44.pdb,1.082
cf_woTemplates_model_4_multimer_v2_pred_23.pdb,1.082
cf_dropout_full_woTemplates_model_4_multimer_v2_pred_40.pdb,1.081
cf_dropout_full_woTemplates_model_5_multimer_v2_pred_66.pdb,1.08
cf_woTemplates_model_3_multimer_v2_pred_42.pdb,1.08
cf_dropout_full_woTemplates_model_2_multimer_v1_pred_35.pdb,1.08
cf_woTemplates_model_2_multimer_v1_pred_2.pdb,1.079
cf_woTemplates_model_5_multimer_v2_pred_4.pdb,1.079
cf_dropout_full_woTemplates_model_3_multimer_v1_pred_22.pdb,1.079
cf_woTemplates_model_4_multimer_v2_pred_27.pdb,1.079
cf_woTemplates_model_4_multimer_v2_pred_28.pdb,1.079
cf_woTemplates_model_1_multimer_v3_pred_9.pdb,1.078
cf_woTemplates_model_5_multimer_v1_pred_54.pdb,1.078
cf_dropout_full_woTemplates_model_5_multimer_v2_pred_31.pdb,1.077
cf_woTemplates_model_5_multimer_v3_pred_62.pdb,1.076
cf_dropout_full_woTemplates_model_5_multimer_v1_pred_22.pdb,1.075
cf_woTemplates_model_3_multimer_v2_pred_39.pdb,1.074
cf_dropout_full_woTemplates_model_1_multimer_v1_pred_51.pdb,1.073
cf_dropout_full_woTemplates_model_2_multimer_v1_pred_55.pdb,1.073
cf_dropout_full_woTemplates_model_1_multimer_v1_pred_14.pdb,1.072
cf_woTemplates_model_1_multimer_v1_pred_39.pdb,1.071
cf_woTemplates_model_4_multimer_v2_pred_42.pdb,1.07
cf_dropout_full_woTemplates_model_5_multimer_v1_pred_19.pdb,1.07
cf_dropout_full_woTemplates_model_4_multimer_v2_pred_14.pdb,1.07
cf_dropout_full_woTemplates_model_4_multimer_v2_pred_51.pdb,1.069
cf_woTemplates_model_2_multimer_v1_pred_37.pdb,1.069
cf_woTemplates_model_4_multimer_v2_pred_0.pdb,1.069
cf_woTemplates_model_3_multimer_v1_pred_40.pdb,1.069
cf_woTemplates_model_4_multimer_v2_pred_66.pdb,1.068
cf_dropout_full_woTemplates_model_1_multimer_v3_pred_32.pdb,1.066
cf_dropout_full_woTemplates_model_4_multimer_v1_pred_34.pdb,1.066
cf_dropout_full_woTemplates_model_3_multimer_v1_pred_29.pdb,1.066
cf_woTemplates_model_5_multimer_v2_pred_16.pdb,1.065
cf_dropout_full_woTemplates_model_4_multimer_v2_pred_35.pdb,1.065
cf_woTemplates_model_3_multimer_v1_pred_59.pdb,1.064
cf_dropout_full_woTemplates_model_2_multimer_v2_pred_33.pdb,1.063
cf_dropout_full_woTemplates_model_4_multimer_v2_pred_47.pdb,1.063
cf_woTemplates_model_2_multimer_v3_pred_28.pdb,1.062
cf_woTemplates_model_5_multimer_v2_pred_29.pdb,1.062
cf_dropout_full_woTemplates_model_3_multimer_v2_pred_62.pdb,1.062
cf_woTemplates_model_5_multimer_v2_pred_8.pdb,1.062
cf_woTemplates_model_2_multimer_v3_pred_12.pdb,1.062
cf_dropout_full_woTemplates_model_3_multimer_v2_pred_64.pdb,1.061
cf_woTemplates_model_5_multimer_v3_pred_12.pdb,1.059
cf_woTemplates_model_1_multimer_v3_pred_33.pdb,1.058
cf_woTemplates_model_4_multimer_v2_pred_34.pdb,1.058
cf_woTemplates_model_4_multimer_v2_pred_4.pdb,1.056
cf_woTemplates_model_4_multimer_v2_pred_56.pdb,1.056
cf_woTemplates_model_3_multimer_v2_pred_46.pdb,1.055
cf_woTemplates_model_2_multimer_v1_pred_1.pdb,1.055
cf_dropout_full_woTemplates_model_5_multimer_v1_pred_48.pdb,1.055
cf_woTemplates_model_2_multimer_v1_pred_32.pdb,1.053
cf_dropout_full_woTemplates_model_3_multimer_v1_pred_30.pdb,1.053
cf_dropout_full_woTemplates_model_3_multimer_v1_pred_28.pdb,1.052
cf_dropout_full_woTemplates_model_5_multimer_v2_pred_42.pdb,1.051
cf_woTemplates_model_3_multimer_v1_pred_20.pdb,1.051
cf_woTemplates_model_4_multimer_v2_pred_29.pdb,1.049
cf_woTemplates_model_3_multimer_v2_pred_59.pdb,1.047
cf_dropout_full_woTemplates_model_2_multimer_v1_pred_1.pdb,1.046
cf_dropout_full_woTemplates_model_5_multimer_v2_pred_40.pdb,1.045
cf_woTemplates_model_2_multimer_v2_pred_2.pdb,1.044
cf_dropout_full_woTemplates_model_5_multimer_v2_pred_28.pdb,1.043
cf_dropout_full_woTemplates_model_4_multimer_v1_pred_24.pdb,1.043
cf_woTemplates_model_5_multimer_v2_pred_17.pdb,1.042
cf_woTemplates_model_1_multimer_v3_pred_23.pdb,1.041
cf_woTemplates_model_1_multimer_v3_pred_1.pdb,1.04
cf_woTemplates_model_1_multimer_v1_pred_8.pdb,1.04
cf_woTemplates_model_3_multimer_v1_pred_65.pdb,1.04
cf_dropout_full_woTemplates_model_5_multimer_v2_pred_60.pdb,1.038
cf_woTemplates_model_4_multimer_v1_pred_4.pdb,1.038
cf_dropout_full_woTemplates_model_3_multimer_v1_pred_35.pdb,1.038
cf_dropout_full_woTemplates_model_2_multimer_v2_pred_6.pdb,1.038
cf_woTemplates_model_4_multimer_v2_pred_14.pdb,1.037
cf_woTemplates_model_4_multimer_v1_pred_46.pdb,1.036
cf_dropout_full_woTemplates_model_5_multimer_v2_pred_9.pdb,1.036
cf_dropout_full_woTemplates_model_1_multimer_v1_pred_6.pdb,1.036
cf_dropout_full_woTemplates_model_2_multimer_v1_pred_32.pdb,1.035
cf_woTemplates_model_3_multimer_v2_pred_9.pdb,1.034
cf_dropout_full_woTemplates_model_2_multimer_v1_pred_5.pdb,1.033
cf_dropout_full_woTemplates_model_4_multimer_v1_pred_62.pdb,1.033
cf_woTemplates_model_5_multimer_v3_pred_45.pdb,1.032
cf_dropout_full_woTemplates_model_2_multimer_v1_pred_36.pdb,1.031
cf_woTemplates_model_4_multimer_v3_pred_54.pdb,1.03
cf_woTemplates_model_4_multimer_v3_pred_20.pdb,1.03
cf_woTemplates_model_2_multimer_v2_pred_32.pdb,1.03
cf_dropout_full_woTemplates_model_5_multimer_v1_pred_0.pdb,1.029
cf_dropout_full_woTemplates_model_3_multimer_v2_pred_37.pdb,1.028
cf_woTemplates_model_4_multimer_v1_pred_19.pdb,1.028
cf_dropout_full_woTemplates_model_3_multimer_v3_pred_53.pdb,1.028
cf_dropout_full_woTemplates_model_2_multimer_v1_pred_21.pdb,1.028
