model_name,ics
afm_woTemplates_model_5_multimer_v3_pred_33.pdb,0.643
afm_woTemplates_model_5_multimer_v3_pred_3.pdb,0.641
afm_woTemplates_model_5_multimer_v3_pred_47.pdb,0.635
afm_basic_model_5_multimer_v3_pred_66.pdb,0.635
afm_woTemplates_model_3_multimer_v3_pred_41.pdb,0.633
afm_woTemplates_model_5_multimer_v3_pred_59.pdb,0.632
afm_basic_model_5_multimer_v3_pred_2.pdb,0.63
afm_basic_model_3_multimer_v3_pred_20.pdb,0.627
afm_woTemplates_model_4_multimer_v3_pred_66.pdb,0.623
afm_basic_model_5_multimer_v3_pred_25.pdb,0.622
afm_dropout_full_model_5_multimer_v3_pred_65.pdb,0.621
afm_basic_model_5_multimer_v3_pred_53.pdb,0.619
afm_basic_model_5_multimer_v3_pred_57.pdb,0.618
cf_woTemplates_model_2_multimer_v1_pred_24.pdb,0.618
afm_basic_model_3_multimer_v3_pred_17.pdb,0.617
afm_basic_model_3_multimer_v3_pred_21.pdb,0.616
afm_basic_model_3_multimer_v3_pred_5.pdb,0.616
afm_woTemplates_model_3_multimer_v3_pred_27.pdb,0.614
afm_woTemplates_model_3_multimer_v3_pred_60.pdb,0.613
afm_woTemplates_model_5_multimer_v3_pred_11.pdb,0.613
afm_woTemplates_model_3_multimer_v3_pred_10.pdb,0.612
afm_woTemplates_model_3_multimer_v3_pred_54.pdb,0.612
afm_dropout_full_model_4_multimer_v3_pred_26.pdb,0.612
afm_woTemplates_model_5_multimer_v3_pred_29.pdb,0.611
afm_woTemplates_model_3_multimer_v3_pred_64.pdb,0.611
afm_basic_model_3_multimer_v3_pred_27.pdb,0.611
afm_woTemplates_model_5_multimer_v3_pred_20.pdb,0.611
afm_woTemplates_model_3_multimer_v3_pred_7.pdb,0.61
afm_dropout_full_woTemplates_model_3_multimer_v3_pred_22.pdb,0.61
afm_woTemplates_model_5_multimer_v3_pred_1.pdb,0.61
afm_woTemplates_model_3_multimer_v3_pred_61.pdb,0.609
afm_woTemplates_model_3_multimer_v3_pred_50.pdb,0.607
cf_woTemplates_model_5_multimer_v3_pred_46.pdb,0.607
afm_woTemplates_model_3_multimer_v3_pred_31.pdb,0.607
cf_woTemplates_model_2_multimer_v1_pred_50.pdb,0.607
afm_basic_model_3_multimer_v3_pred_36.pdb,0.607
afm_basic_model_5_multimer_v3_pred_17.pdb,0.607
afm_woTemplates_model_3_multimer_v3_pred_15.pdb,0.607
