model_name,dockq_wave
afm_woTemplates_model_5_multimer_v3_pred_35.pdb,0.118
afm_dropout_full_woTemplates_r3_model_3_multimer_v3_pred_12.pdb,0.118
afm_dropout_full_model_3_multimer_v3_pred_50.pdb,0.118
afm_dropout_full_woTemplates_r3_model_4_multimer_v3_pred_59.pdb,0.118
afm_dropout_full_model_3_multimer_v3_pred_34.pdb,0.118
cf_dropout_full_woTemplates_model_3_multimer_v3_pred_40.pdb,0.118
afm_woTemplates_model_2_multimer_v2_pred_56.pdb,0.118
afm_dropout_full_woTemplates_model_1_multimer_v3_pred_31.pdb,0.118
afm_basic_model_4_multimer_v3_pred_7.pdb,0.118
afm_dropout_noSM_woTemplates_model_3_multimer_v3_pred_41.pdb,0.118
afm_dropout_full_model_3_multimer_v3_pred_46.pdb,0.118
afm_dropout_full_model_3_multimer_v3_pred_22.pdb,0.118
cf_dropout_full_woTemplates_model_2_multimer_v3_pred_19.pdb,0.118
afm_woTemplates_model_1_multimer_v3_pred_30.pdb,0.118
afm_dropout_noSM_woTemplates_model_3_multimer_v3_pred_6.pdb,0.118
afm_dropout_noSM_woTemplates_model_3_multimer_v3_pred_64.pdb,0.118
afm_basic_model_4_multimer_v3_pred_62.pdb,0.118
afm_dropout_full_model_2_multimer_v3_pred_0.pdb,0.118
afm_dropout_full_woTemplates_model_4_multimer_v3_pred_63.pdb,0.118
afm_basic_model_1_multimer_v3_pred_50.pdb,0.118
afm_dropout_noSM_woTemplates_model_3_multimer_v3_pred_13.pdb,0.118
afm_dropout_noSM_woTemplates_model_3_multimer_v3_pred_15.pdb,0.118
afm_dropout_full_woTemplates_model_2_multimer_v3_pred_30.pdb,0.118
afm_dropout_full_model_3_multimer_v3_pred_63.pdb,0.118
afm_dropout_full_model_3_multimer_v3_pred_57.pdb,0.118
afm_dropout_noSM_woTemplates_model_5_multimer_v3_pred_25.pdb,0.118
afm_dropout_full_woTemplates_model_3_multimer_v2_pred_63.pdb,0.117
