,lddt,rmsd,tm_score,oligo_gdtts,oligo_gdtha
lddt,0.00022862956078203918,0.03569032920786516,-2.9316878399945203e-06,5.636252219784376e-05,9.091027194501746e-05
rmsd,0.03569032920786516,12.223309819552968,-0.005742219246816416,0.013491254101998484,0.02342716154703864
tm_score,-2.9316878399945203e-06,-0.005742219246816416,0.00022926931402128002,0.00013314638785781463,9.491817912753412e-05
oligo_gdtts,5.636252219784376e-05,0.013491254101998484,0.00013314638785781463,0.00015373577707771476,0.00013446199552079953
oligo_gdtha,9.091027194501746e-05,0.02342716154703864,9.491817912753412e-05,0.00013446199552079953,0.00015251624398711786
