,tm_score,rmsd,lddt,oligo_gdtts,oligo_gdtha
tm_score,0.00119174611329156,-0.01550881922575683,0.0011539549125074721,0.0018025647750445836,0.00198875566875026
rmsd,-0.01550881922575683,0.2150696176052632,-0.014991203679654327,-0.02305008314639255,-0.025492558190969322
lddt,0.0011539549125074721,-0.014991203679654327,0.001398199678271073,0.0017559049838227004,0.001931350670159915
oligo_gdtts,0.0018025647750445836,-0.02305008314639255,0.0017559049838227004,0.0028372535032244748,0.0031520575129396562
oligo_gdtha,0.00198875566875026,-0.025492558190969322,0.001931350670159915,0.0031520575129396562,0.0035258375769714125
