,oligo_gdtts,tm_score,oligo_gdtha,rmsd,lddt
oligo_gdtts,1.6663557920113534e-05,6.569004097921265e-06,1.8003857447258978e-05,-0.00019682571743702895,-8.03792665411887e-08
tm_score,6.569004097921265e-06,4.422378070393255e-06,8.387153134989877e-06,-0.00011301952436970935,-1.1832196175860372e-06
oligo_gdtha,1.8003857447258978e-05,8.387153134989877e-06,5.230491809128796e-05,-0.00023798328117601462,5.478836483955838e-06
rmsd,-0.00019682571743702895,-0.00011301952436970935,-0.00023798328117601462,0.0038963745207539705,2.6553733532463342e-05
lddt,-8.03792665411887e-08,-1.1832196175860372e-06,5.478836483955838e-06,2.6553733532463342e-05,1.8403474224588973e-05
