,tm_score,oligo_gdtha,lddt,rmsd,oligo_gdtts
tm_score,0.0009888763712464141,0.0006542972649210688,0.00024020614140358694,-0.03583676435753962,0.0011212240459483056
oligo_gdtha,0.0006542972649210688,0.0012419239025865897,0.0004637296477297431,-0.03843575706859019,0.001958485557779865
lddt,0.00024020614140358694,0.0004637296477297431,0.0003199883240940314,-0.016954140195045642,0.0007722011126163321
rmsd,-0.03583676435753962,-0.03843575706859019,-0.016954140195045642,2.7858611616069617,-0.06705974224266449
oligo_gdtts,0.0011212240459483056,0.001958485557779865,0.0007722011126163321,-0.06705974224266449,0.0032222919431392737
