,dockq_wave,lddt,qs_global,rmsd,qs_best,dockq_ave,tm_score,ics,oligo_gdtha,oligo_gdtts,ips,ilddt
dockq_wave,0.007848480216059491,5.64607391520677e-05,0.009877668709435062,-0.7256201172453737,0.009963593988859425,0.007848300291587652,0.01596288814552242,0.007726935569831544,0.005768647791027751,0.010075343204066115,0.012365876653019534,0.00822404254267076
lddt,5.64607391520677e-05,0.03960304474651292,0.007463384115920155,0.06356565132736915,0.007421935450019141,5.724866435647279e-05,0.009743237063735566,0.006781849191486918,0.012765893331435752,0.014684025885657488,-0.004038194480024091,0.010089076049765172
qs_global,0.009877668709435062,0.007463384115920155,0.015541888336368034,-0.9911141396582527,0.01561362447604139,0.009877808521148971,0.02377992905758135,0.012541768853345485,0.010837461908481416,0.016957368504956487,0.016652460055392348,0.01426455884320983
rmsd,-0.7256201172453737,0.06356565132736915,-0.9911141396582527,96.33343474351233,-0.9979181553524479,-0.7255687231860014,-1.7505564731859782,-0.7597187162628871,-0.5648980985699738,-0.9783584996462367,-1.5550792626005154,-0.8123893102561119
qs_best,0.009963593988859425,0.007421935450019141,0.01561362447604139,-0.9979181553524479,0.01568778901620337,0.009963727198849982,0.023914803939577473,0.012588443668421942,0.010863445017138908,0.017024586978289243,0.016778837652647736,0.014303279036580291
dockq_ave,0.007848300291587652,5.724866435647279e-05,0.009877808521148971,-0.7255687231860014,0.009963727198849982,0.007848154420631694,0.01596234167774246,0.007727130757098715,0.005768749778082274,0.010075370145024699,0.012364353873075452,0.008224358998247258
tm_score,0.01596288814552242,0.009743237063735566,0.02377992905758135,-1.7505564731859782,0.023914803939577473,0.01596234167774246,0.0407006882781167,0.018897349409094107,0.01656325861198544,0.026652331829563156,0.029582837668565995,0.021591328858997255
ics,0.007726935569831544,0.006781849191486918,0.012541768853345485,-0.7597187162628871,0.012588443668421942,0.007727130757098715,0.018897349409094107,0.010549693990482781,0.009555852709735146,0.014379123525075737,0.012975047508502471,0.012399266119614769
oligo_gdtha,0.005768647791027751,0.012765893331435752,0.010837461908481416,-0.5648980985699738,0.010863445017138908,0.005768749778082274,0.01656325861198544,0.009555852709735146,0.0119897448391855,0.01579018268004682,0.010545990860277335,0.012952866665453101
oligo_gdtts,0.010075343204066115,0.014684025885657488,0.016957368504956487,-0.9783584996462367,0.017024586978289243,0.010075370145024699,0.026652331829563156,0.014379123525075737,0.01579018268004682,0.022425922197919303,0.01736069588355659,0.018305489232171433
ips,0.012365876653019534,-0.004038194480024091,0.016652460055392348,-1.5550792626005154,0.016778837652647736,0.012364353873075452,0.029582837668565995,0.012975047508502471,0.010545990860277335,0.01736069588355659,0.033295030558278205,0.014466478658529758
ilddt,0.00822404254267076,0.010089076049765172,0.01426455884320983,-0.8123893102561119,0.014303279036580291,0.008224358998247258,0.021591328858997255,0.012399266119614769,0.012952866665453101,0.018305489232171433,0.014466478658529758,0.016314660406618265
