,rmsd,lddt,tm_score,oligo_gdtha,oligo_gdtts
rmsd,0.06973444857557669,-0.0005257127823801555,-0.007206064698970511,-0.006827140216839966,-0.005681768831605332
lddt,-0.0005257127823801555,8.210335881426847e-05,5.0548930768953384e-05,0.00010091470698295509,5.2197227745054174e-05
tm_score,-0.007206064698970511,5.0548930768953384e-05,0.0007486747553074484,0.0007039254479537396,0.0005875719014919528
oligo_gdtha,-0.006827140216839966,0.00010091470698295509,0.0007039254479537396,0.0007988330959507322,0.0006159957029699425
oligo_gdtts,-0.005681768831605332,5.2197227745054174e-05,0.0005875719014919528,0.0006159957029699425,0.0005052289557364939
