,dockq_ave,ips,oligo_gdtha,lddt,rmsd,qs_best,ics,qs_global,oligo_gdtts,tm_score,ilddt,dockq_wave
dockq_ave,0.009127355222872151,0.005624325498094237,0.0041472404036147405,0.0015147177780110933,-0.33461429899872164,0.006311735030756993,0.004966830559602631,0.006323803069930473,0.006043674063718665,0.006137026713080623,0.005503630469056754,0.009127355222872151
ips,0.005624325498094237,0.009699063344243261,0.004113282310249566,0.0022108478080977035,-0.31768549047903494,0.010347631576078426,0.008094372301653618,0.010371403267721924,0.004459105555691393,0.003850104322790793,0.008480661880455462,0.005624325498094237
oligo_gdtha,0.0041472404036147405,0.004113282310249566,0.002574492896942453,0.0010897058060589026,-0.17324130337594226,0.004566441677201853,0.003723899105679637,0.004575371615863651,0.0031426663904106397,0.002950942922695134,0.004052084197218712,0.0041472404036147405
lddt,0.0015147177780110933,0.0022108478080977035,0.0010897058060589026,0.0006597000032440532,-0.07626872333939157,0.002505736230689683,0.002045924440708188,0.0025117750437428014,0.0011736567407062224,0.0010029405709152748,0.0021810349469069687,0.0015147177780110933
rmsd,-0.33461429899872164,-0.31768549047903494,-0.17324130337594226,-0.07626872333939157,15.80420414936391,-0.35233487699431465,-0.26608023227567557,-0.35322395198867745,-0.23884258433479544,-0.23667625306950707,-0.28015434720209875,-0.33461429899872164
qs_best,0.006311735030756993,0.010347631576078426,0.004566441677201853,0.002505736230689683,-0.35233487699431465,0.011672634008879764,0.009117891725311338,0.011699567167034138,0.005037140214500731,0.0043359537793636925,0.00927872651027127,0.006311735030756993
ics,0.004966830559602631,0.008094372301653618,0.003723899105679637,0.002045924440708188,-0.26608023227567557,0.009117891725311338,0.007443634146312621,0.009138739735259568,0.0040296015476857655,0.0033432170278993524,0.0074478245103834495,0.004966830559602631
qs_global,0.006323803069930473,0.010371403267721924,0.004575371615863651,0.0025117750437428014,-0.35322395198867745,0.011699567167034138,0.009138739735259568,0.011726637325805847,0.005047884835258755,0.004347165056800526,0.009295632676484169,0.006323803069930473
oligo_gdtts,0.006043674063718665,0.004459105555691393,0.0031426663904106397,0.0011736567407062224,-0.23884258433479544,0.005037140214500731,0.0040296015476857655,0.005047884835258755,0.004393098804414027,0.004362777340757263,0.004273153380824375,0.006043674063718665
tm_score,0.006137026713080623,0.003850104322790793,0.002950942922695134,0.0010029405709152748,-0.23667625306950707,0.0043359537793636925,0.0033432170278993524,0.004347165056800526,0.004362777340757263,0.0059444969047722784,0.003449826950376029,0.006137026713080623
ilddt,0.005503630469056754,0.008480661880455462,0.004052084197218712,0.0021810349469069687,-0.28015434720209875,0.00927872651027127,0.0074478245103834495,0.009295632676484169,0.004273153380824375,0.003449826950376029,0.008433433292630835,0.005503630469056754
dockq_wave,0.009127355222872151,0.005624325498094237,0.0041472404036147405,0.0015147177780110933,-0.33461429899872164,0.006311735030756993,0.004966830559602631,0.006323803069930473,0.006043674063718665,0.006137026713080623,0.005503630469056754,0.009127355222872151
