,oligo_gdtha,rmsd,tm_score,lddt,oligo_gdtts
oligo_gdtha,0.00046967103836282557,-0.0037521135385036436,0.0002619607538747155,0.00038734871925731097,0.00044021801229849786
rmsd,-0.0037521135385036436,0.8337336563832594,-0.01568072014971442,-0.010043191039495043,-0.011294867015235998
tm_score,0.0002619607538747155,-0.01568072014971442,0.0004100122649297655,0.0003590869713640033,0.0003903626603239731
lddt,0.00038734871925731097,-0.010043191039495043,0.0003590869713640033,0.0005503350959511562,0.00044860071500381403
oligo_gdtts,0.00044021801229849786,-0.011294867015235998,0.0003903626603239731,0.00044860071500381403,0.0005079844725488477
