,tm_score,lddt,rmsd,oligo_gdtts,oligo_gdtha
tm_score,2.3723511720664263e-06,8.622062181592346e-07,-8.13776243231001e-05,5.632014333764103e-06,5.8622779963440385e-06
lddt,8.622062181592346e-07,7.240491626512224e-05,-0.004071559794480581,-5.337426355472424e-06,-1.3266996965737486e-07
rmsd,-8.13776243231001e-05,-0.004071559794480581,5.585930105240537,-0.005623153505441962,-0.008606388475132495
oligo_gdtts,5.632014333764103e-06,-5.337426355472424e-06,-0.005623153505441962,5.861606631474618e-05,6.878427233121007e-05
oligo_gdtha,5.8622779963440385e-06,-1.3266996965737486e-07,-0.008606388475132495,6.878427233121007e-05,8.961704471677224e-05
