,oligo_gdtha,oligo_gdtts,lddt,dockq_ave,ics,rmsd,dockq_wave,ips,qs_best,ilddt,tm_score,qs_global
oligo_gdtha,0.00693196810911176,0.008796113094928986,0.016681228079913377,0.003250280497597014,0.01567381877170894,-0.8905755982919442,0.003245518620573092,0.005839390038751522,0.01734966303320089,0.01486307510153291,0.010437631834059213,0.014250951465797256
oligo_gdtts,0.008796113094928986,0.011303511647993102,0.021562417013438112,0.004292184869758622,0.020144617647865726,-1.1354125828070107,0.004286053283101689,0.007576309145065918,0.02240531406126758,0.019161980483634718,0.01365371555302982,0.01830196664527412
lddt,0.016681228079913377,0.021562417013438112,0.059543012773306085,0.01083018919513426,0.05499268748266962,-2.5067364152277323,0.010812969914903414,0.019932493352717285,0.06081334142836846,0.050547677427359286,0.030689715236550865,0.049719546527059975
dockq_ave,0.003250280497597014,0.004292184869758622,0.01083018919513426,0.003934770498380863,0.010419409391488381,-0.3600467200055361,0.0039334588511226185,0.005730220522876141,0.012480789701451585,0.010640232101547612,0.006049912611637213,0.009505477887870432
ics,0.01567381877170894,0.020144617647865726,0.05499268748266962,0.010419409391488381,0.055030638727519454,-2.6537766955714988,0.010402215984391613,0.019552117002170275,0.06040524137962282,0.04746225444589237,0.028617717841623355,0.05041915189005539
rmsd,-0.8905755982919442,-1.1354125828070107,-2.5067364152277323,-0.3600467200055361,-2.6537766955714988,372.3129767745154,-0.35895625572479073,-1.1847463668721012,-2.7738109231526886,-2.1590917257680493,-1.6400458999470904,-2.450368738029158
dockq_wave,0.003245518620573092,0.004286053283101689,0.010812969914903414,0.0039334588511226185,0.010402215984391613,-0.35895625572479073,0.003932249004756983,0.005726440560745833,0.01246270256073603,0.010627044095413998,0.0060408654621523505,0.009489746455533734
ips,0.005839390038751522,0.007576309145065918,0.019932493352717285,0.005730220522876141,0.019552117002170275,-1.1847463668721012,0.005726440560745833,0.014636888374542554,0.02157734746547392,0.01818568191636334,0.011215556217880578,0.01792405828062767
qs_best,0.01734966303320089,0.02240531406126758,0.06081334142836846,0.012480789701451585,0.06040524137962282,-2.7738109231526886,0.01246270256073603,0.02157734746547392,0.0679847564057592,0.0533587291045507,0.03179994423601687,0.05552954032951043
ilddt,0.01486307510153291,0.019161980483634718,0.050547677427359286,0.010640232101547612,0.04746225444589237,-2.1590917257680493,0.010627044095413998,0.01818568191636334,0.0533587291045507,0.04516631707467633,0.026787942259983065,0.04312062382116491
tm_score,0.010437631834059213,0.01365371555302982,0.030689715236550865,0.006049912611637213,0.028617717841623355,-1.6400458999470904,0.0060408654621523505,0.011215556217880578,0.03179994423601687,0.026787942259983065,0.01969238797184023,0.025824257341723784
qs_global,0.014250951465797256,0.01830196664527412,0.049719546527059975,0.009505477887870432,0.05041915189005539,-2.450368738029158,0.009489746455533734,0.01792405828062767,0.05552954032951043,0.04312062382116491,0.025824257341723784,0.04654818334223328
