,oligo_gdtts,tm_score,lddt,rmsd,oligo_gdtha
oligo_gdtts,0.00010037401858399193,7.935405498319115e-05,0.00013620086256846715,-0.006397457223196327,0.00011013179924339885
tm_score,7.935405498319115e-05,6.53163734850002e-05,0.00010589740834363985,-0.005382583246467319,8.42152759839737e-05
lddt,0.00013620086256846715,0.00010589740834363985,0.00022024936439133958,-0.008312167228285355,0.0001584950953794704
rmsd,-0.006397457223196327,-0.005382583246467319,-0.008312167228285355,0.46095188672381543,-0.006476030940515686
oligo_gdtha,0.00011013179924339885,8.42152759839737e-05,0.0001584950953794704,-0.006476030940515686,0.00016718118030432371
