,oligo_gdtts,oligo_gdtha,lddt,tm_score,rmsd
oligo_gdtts,0.00035728355442179375,0.00039005227245502756,3.1811366438597176e-05,0.00025676916850559387,-0.0032043322808984346
oligo_gdtha,0.00039005227245502756,0.0004446327017936894,4.220356880265626e-05,0.0002789663786401359,-0.0034676541867657983
lddt,3.1811366438597176e-05,4.220356880265626e-05,2.54385511343111e-05,2.1660037428652486e-05,-0.00026125626863817997
tm_score,0.00025676916850559387,0.0002789663786401359,2.1660037428652486e-05,0.00019091396919227352,-0.0023892367242955765
rmsd,-0.0032043322808984346,-0.0034676541867657983,-0.00026125626863817997,-0.0023892367242955765,0.030139611660053127
