,oligo_gdtts,oligo_gdtha,tm_score,lddt,rmsd
oligo_gdtts,5.899500310974412e-05,5.0676792228377735e-05,6.990687444007131e-05,1.2474098478000056e-05,-0.002948237966504219
oligo_gdtha,5.0676792228377735e-05,5.494410262918898e-05,6.339326249566969e-06,1.638156434496721e-05,0.0012669251429453226
tm_score,6.990687444007131e-05,6.339326249566969e-06,0.0005516259359990729,7.451716324513707e-06,-0.032409915202477
lddt,1.2474098478000056e-05,1.638156434496721e-05,7.451716324513707e-06,2.8510819333809647e-05,5.476466756368678e-05
rmsd,-0.002948237966504219,0.0012669251429453226,-0.032409915202477,5.476466756368678e-05,2.1964396283192125
