,oligo_gdtha,oligo_gdtts,tm_score,lddt,rmsd
oligo_gdtha,0.0004338547188449453,0.00018840161280774074,9.048696768502395e-05,0.00017683408713313484,-0.0025098191184546
oligo_gdtts,0.00018840161280774074,9.293802245131815e-05,4.148740995261153e-05,9.010960758578903e-05,-0.0011492274345178339
tm_score,9.048696768502395e-05,4.148740995261153e-05,2.0511395071042416e-05,3.986351619082035e-05,-0.0005772144719189023
lddt,0.00017683408713313484,9.010960758578903e-05,3.986351619082035e-05,0.00017465571383158806,-0.0011477198964407603
rmsd,-0.0025098191184546,-0.0011492274345178339,-0.0005772144719189023,-0.0011477198964407603,0.0175665025224274
