,ilddt,qs_global,oligo_gdtha,tm_score,qs_best,ips,oligo_gdtts,lddt,dockq_ave,dockq_wave,ics,rmsd
ilddt,0.0026372953509672284,0.0008326276777593721,0.0012892113679329987,0.0006576893210492326,0.001068781629593675,0.00037542720648582866,0.000667213459510793,0.0019081870473082684,0.001411577907661911,0.001411577907661911,0.0012771869589008442,-0.0071408261955827135
qs_global,0.0008326276777593721,0.0010034054889401368,0.0004039819864868108,0.0005514490760263178,0.001152918199336917,0.0004005222703763258,0.00030516263891663156,0.0007258035600633895,0.0013240426365582459,0.0013240426365582459,0.0010247389982556468,-0.008671425718595756
oligo_gdtha,0.0012892113679329987,0.0004039819864868108,0.0010906000364518497,1.706298346058973e-05,0.0006611289220766615,0.00029643622742187915,0.0005206149451686618,0.0009090169285886748,0.0009336552811802864,0.0009336552811802864,0.0008047929177374117,-0.004809676352299726
tm_score,0.0006576893210492326,0.0005514490760263178,1.706298346058973e-05,0.06642532245308708,0.00025388877082550474,0.00016378560763955413,2.1121549944686806e-06,0.0005567166660053323,-0.00013597712415851606,-0.00013597712415851606,0.0003121410424447554,0.0006057744802657026
qs_best,0.001068781629593675,0.001152918199336917,0.0006611289220766615,0.00025388877082550474,0.002223544234281053,0.00047302672182867185,0.0005368537500040434,0.0009021927546232307,0.0027339468274096518,0.0027339468274096518,0.0012563732943540018,-0.018230569646251478
ips,0.00037542720648582866,0.0004005222703763258,0.00029643622742187915,0.00016378560763955413,0.00047302672182867185,0.0005211083608571694,0.0001889799005936092,0.0003341705612531184,0.0005276457625621568,0.0005276457625621568,0.0005847207588799819,-0.0038187910393238326
oligo_gdtts,0.000667213459510793,0.00030516263891663156,0.0005206149451686618,2.1121549944686806e-06,0.0005368537500040434,0.0001889799005936092,0.0003246321059769478,0.0005589334453342198,0.0007479343347888137,0.0007479343347888137,0.00048095620782012314,-0.004664783142944322
lddt,0.0019081870473082684,0.0007258035600633895,0.0009090169285886748,0.0005567166660053323,0.0009021927546232307,0.0003341705612531184,0.0005589334453342198,0.001783130863485132,0.0010495485042747977,0.0010495485042747977,0.0009902805464145706,-0.006868992874066932
dockq_ave,0.001411577907661911,0.0013240426365582459,0.0009336552811802864,-0.00013597712415851606,0.0027339468274096518,0.0005276457625621568,0.0007479343347888137,0.0010495485042747977,0.004386552724532361,0.004386552724532361,0.0016437941532956247,-0.026860601463108452
dockq_wave,0.001411577907661911,0.0013240426365582459,0.0009336552811802864,-0.00013597712415851606,0.0027339468274096518,0.0005276457625621568,0.0007479343347888137,0.0010495485042747977,0.004386552724532361,0.004386552724532361,0.0016437941532956247,-0.026860601463108452
ics,0.0012771869589008442,0.0010247389982556468,0.0008047929177374117,0.0003121410424447554,0.0012563732943540018,0.0005847207588799819,0.00048095620782012314,0.0009902805464145706,0.0016437941532956247,0.0016437941532956247,0.001501678618178341,-0.00890870194968396
rmsd,-0.0071408261955827135,-0.008671425718595756,-0.004809676352299726,0.0006057744802657026,-0.018230569646251478,-0.0038187910393238326,-0.004664783142944322,-0.006868992874066932,-0.026860601463108452,-0.026860601463108452,-0.00890870194968396,0.19159328534813388
