,ics,tm_score,qs_best,ips,dockq_wave,oligo_gdtha,rmsd,dockq_ave,lddt,oligo_gdtts,qs_global,ilddt
ics,0.008324129720935476,0.004810242242741826,0.010246006782003126,0.009109742742599387,0.00683148619345412,0.00019722677794444532,-0.21616272100866127,0.00683148619345412,0.00012198356577899772,0.002439403863830028,0.00983062491340723,0.00512987001364651
tm_score,0.004810242242741826,0.003280393104566741,0.006179114656206258,0.00547852906909643,0.0043012542827153555,0.0001999638779865081,-0.13896526820565025,0.0043012542827153555,9.712454979748758e-05,0.001682482529269954,0.0058492485921325995,0.003213937237369887
qs_best,0.010246006782003126,0.006179114656206258,0.014912607480349829,0.011033694089286282,0.00888957859245916,0.000348449105531853,-0.3339929553584884,0.00888957859245916,0.00017710123838522528,0.0033839025535152907,0.014268037368869484,0.006792154550644887
ips,0.009109742742599387,0.00547852906909643,0.011033694089286282,0.013266117175161123,0.007503766976176699,-5.50849057110195e-05,-0.2884163289882936,0.007503766976176699,-0.00013961102387928222,0.002421908599639648,0.010708556983793029,0.006397392233414737
dockq_wave,0.00683148619345412,0.0043012542827153555,0.00888957859245916,0.007503766976176699,0.006004440520210375,0.00024686255284874897,-0.20086795717078554,0.006004440520210375,4.034173174544536e-05,0.002254764789070243,0.008465474340853287,0.004422690110300654
oligo_gdtha,0.00019722677794444532,0.0001999638779865081,0.000348449105531853,-5.50849057110195e-05,0.00024686255284874897,0.00034541502346504226,-0.004089612953412172,0.00024686255284874897,0.0002807945549189226,0.00017371592116044806,0.0002777946600284844,0.0001512377596488945
rmsd,-0.21616272100866127,-0.13896526820565025,-0.3339929553584884,-0.2884163289882936,-0.20086795717078554,-0.004089612953412172,12.946893472686074,-0.20086795717078554,0.0060372600072162805,-0.07134144023397494,-0.3183065881919066,-0.19435260057810738
dockq_ave,0.00683148619345412,0.0043012542827153555,0.00888957859245916,0.007503766976176699,0.006004440520210375,0.00024686255284874897,-0.20086795717078554,0.006004440520210375,4.034173174544536e-05,0.002254764789070243,0.008465474340853287,0.004422690110300654
lddt,0.00012198356577899772,9.712454979748758e-05,0.00017710123838522528,-0.00013961102387928222,4.034173174544536e-05,0.0002807945549189226,0.0060372600072162805,4.034173174544536e-05,0.000751900009189697,0.00010397869741214786,0.0001016713897110405,0.00027596314458410483
oligo_gdtts,0.002439403863830028,0.001682482529269954,0.0033839025535152907,0.002421908599639648,0.002254764789070243,0.00017371592116044806,-0.07134144023397494,0.002254764789070243,0.00010397869741214786,0.0009824609978982563,0.0031950782608983225,0.001575611034807226
qs_global,0.00983062491340723,0.0058492485921325995,0.014268037368869484,0.010708556983793029,0.008465474340853287,0.0002777946600284844,-0.3183065881919066,0.008465474340853287,0.0001016713897110405,0.0031950782608983225,0.013776876693415844,0.006462780012126824
ilddt,0.00512987001364651,0.003213937237369887,0.006792154550644887,0.006397392233414737,0.004422690110300654,0.0001512377596488945,-0.19435260057810738,0.004422690110300654,0.00027596314458410483,0.001575611034807226,0.006462780012126824,0.004320004678437917
