,tm_score,rmsd,oligo_gdtts,lddt,oligo_gdtha
tm_score,0.0012273510433866246,-0.054401861894465275,7.958958263505454e-05,0.0001320101224662247,6.811268651358997e-05
rmsd,-0.054401861894465275,20.82115386538655,-0.01063591468210383,0.02732568569137967,-0.009135888574670549
oligo_gdtts,7.958958263505454e-05,-0.01063591468210383,3.4289243664229496e-05,3.39948101712526e-05,3.215204393819662e-05
lddt,0.0001320101224662247,0.02732568569137967,3.39948101712526e-05,0.00031082379142332477,3.11934375838578e-05
oligo_gdtha,6.811268651358997e-05,-0.009135888574670549,3.215204393819662e-05,3.11934375838578e-05,3.144897799112262e-05
