,tm_score,oligo_gdtha,oligo_gdtts,lddt,rmsd
tm_score,0.016566321372009647,0.011189953411640752,0.016087552110880334,0.016348770235416327,-0.8004662083730036
oligo_gdtha,0.011189953411640752,0.008144228601441919,0.011294682809824104,0.011295865101978022,-0.5316762064086289
oligo_gdtts,0.016087552110880334,0.011294682809824104,0.015957591292614617,0.01607245152708773,-0.7714381681121041
lddt,0.016348770235416327,0.011295865101978022,0.01607245152708773,0.016689788008245894,-0.787966038151816
rmsd,-0.8004662083730036,-0.5316762064086289,-0.7714381681121041,-0.787966038151816,39.305794195070824
