,qs_global,oligo_gdtha,dockq_ave,oligo_gdtts,rmsd,lddt,tm_score,ics,dockq_wave,qs_best,ips,ilddt
qs_global,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oligo_gdtha,0.0,0.0014810647882252251,-4.887259773178828e-05,0.001384852125974065,0.12808715563553932,0.009107202765443646,0.0009986477609138654,0.0,-4.887259773178828e-05,0.0,-0.00036999351867841716,0.0
dockq_ave,0.0,-4.887259773178828e-05,3.388293418067873e-06,-4.5948228138381614e-05,-0.007120595271990279,-0.0005053437493865306,-5.46599576356349e-05,0.0,3.388293418067873e-06,0.0,2.4051404107170938e-05,0.0
oligo_gdtts,0.0,0.001384852125974065,-4.5948228138381614e-05,0.001335239699229711,0.1333452461395287,0.008379921687933714,0.0010616020316049455,0.0,-4.5948228138381614e-05,0.0,-0.0003937163128886746,0.0
rmsd,0.0,0.12808715563553932,-0.007120595271990279,0.1333452461395287,29.330375491054895,1.0801632658256404,0.17452461407532932,0.0,-0.007120595271990279,0.0,-0.0839437106583914,0.0
lddt,0.0,0.009107202765443646,-0.0005053437493865306,0.008379921687933714,1.0801632658256404,0.08511336202574186,0.008433151399227462,0.0,-0.0005053437493865306,0.0,-0.0034685155812654756,0.0
tm_score,0.0,0.0009986477609138654,-5.46599576356349e-05,0.0010616020316049455,0.17452461407532932,0.008433151399227462,0.0014297012978846532,0.0,-5.46599576356349e-05,0.0,-0.0005657877826251509,0.0
ics,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dockq_wave,0.0,-4.887259773178828e-05,3.388293418067873e-06,-4.5948228138381614e-05,-0.007120595271990279,-0.0005053437493865306,-5.46599576356349e-05,0.0,3.388293418067873e-06,0.0,2.4051404107170938e-05,0.0
qs_best,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ips,0.0,-0.00036999351867841716,2.4051404107170938e-05,-0.0003937163128886746,-0.0839437106583914,-0.0034685155812654756,-0.0005657877826251509,0.0,2.4051404107170938e-05,0.0,0.00030349173510674015,0.0
ilddt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
