,dockq_ave,rmsd,oligo_gdtha,lddt,oligo_gdtts,dockq_wave,ilddt,qs_global,tm_score,ics,qs_best,ips
dockq_ave,0.0004294697907116178,-0.06672954506153721,3.130815105266303e-05,-0.00042088512808638744,7.298879487125648e-05,0.0003972913063726692,0.00020816680275505104,6.815265345131832e-05,0.0003051652098891151,-0.00021598819511030537,8.468418780313673e-05,-4.184282369983107e-05
rmsd,-0.06672954506153721,35.838454814648195,0.09809249918580262,0.3958208462963351,0.056343114181556686,-0.0073425709729600195,0.17219757127449295,0.32710114939107243,-0.13774731445179908,0.41684205639716504,0.31690300143301076,0.2202446053229319
oligo_gdtha,3.130815105266303e-05,0.09809249918580262,0.0022119497772945954,0.004288995373707774,0.0014162185797680126,0.0011577903226480618,0.0038971734848081275,0.0030683000562401444,-0.00011007148581881264,0.004268810429917463,0.0029507404899006863,0.0025955079892792153
lddt,-0.00042088512808638744,0.3958208462963351,0.004288995373707774,0.014876408889345102,0.002858414761380683,0.0014953480597976248,0.009791339176109902,0.011247100860707187,-0.0008512940191974049,0.013591494421413105,0.01084333740971508,0.009364629747605296
oligo_gdtts,7.298879487125648e-05,0.056343114181556686,0.0014162185797680126,0.002858414761380683,0.0009911245013332769,0.000796461111431891,0.0026446364722508002,0.002060633731770961,-3.4194967752885245e-05,0.0027243262621808833,0.001993964875490793,0.0017040235491714555
dockq_wave,0.0003972913063726692,-0.0073425709729600195,0.0011577903226480618,0.0014953480597976248,0.000796461111431891,0.0012198609728841959,0.0021772901109820214,0.0010461410016124526,0.00013128315229689991,0.0016874866779678344,0.001028133861832574,0.0009074021819536692
ilddt,0.00020816680275505104,0.17219757127449295,0.0038971734848081275,0.009791339176109902,0.0026446364722508002,0.0021772901109820214,0.008510756334849488,0.0071340158141345025,-0.00012364198159462908,0.00903571733575817,0.0068626433207529345,0.006076310013551811
qs_global,6.815265345131832e-05,0.32710114939107243,0.0030683000562401444,0.011247100860707187,0.002060633731770961,0.0010461410016124526,0.0071340158141345025,0.011675695213959445,-0.0007298089311307237,0.01235131999004546,0.011209267697419527,0.008247405854914357
tm_score,0.0003051652098891151,-0.13774731445179908,-0.00011007148581881264,-0.0008512940191974049,-3.4194967752885245e-05,0.00013128315229689991,-0.00012364198159462908,-0.0007298089311307237,0.0009817850758090073,-0.0011078720392999927,-0.0007029849796334016,-0.00011468101757562056
ics,-0.00021598819511030537,0.41684205639716504,0.004268810429917463,0.013591494421413105,0.0027243262621808833,0.0016874866779678344,0.00903571733575817,0.01235131999004546,-0.0011078720392999927,0.014667502659005013,0.011860489392833894,0.00921175122264073
qs_best,8.468418780313673e-05,0.31690300143301076,0.0029507404899006863,0.01084333740971508,0.001993964875490793,0.001028133861832574,0.0068626433207529345,0.011209267697419527,-0.0007029849796334016,0.011860489392833894,0.010846772600100783,0.007930104103239757
ips,-4.184282369983107e-05,0.2202446053229319,0.0025955079892792153,0.009364629747605296,0.0017040235491714555,0.0009074021819536692,0.006076310013551811,0.008247405854914357,-0.00011468101757562056,0.00921175122264073,0.007930104103239757,0.007282127717911851
