,oligo_gdtha,oligo_gdtts,lddt,rmsd,tm_score
oligo_gdtha,0.0012940320309635107,0.0018079073040402145,0.0017318656838982524,-0.1458448850235945,0.0021549077392018423
oligo_gdtts,0.0018079073040402145,0.0026108752486485717,0.0025048347879907886,-0.21608476676160504,0.0032027048246415072
lddt,0.0017318656838982524,0.0025048347879907886,0.002595552225076274,-0.19742569461836862,0.0030921034341126366
rmsd,-0.1458448850235945,-0.21608476676160504,-0.19742569461836862,27.106023325098544,-0.2810427887619794
tm_score,0.0021549077392018423,0.0032027048246415072,0.0030921034341126366,-0.2810427887619794,0.0041418063417137845
