,oligo_gdtts,rmsd,lddt,tm_score,oligo_gdtha
oligo_gdtts,0.058944294003275464,-1.0537429797616877,0.024802152952847413,0.049552135652819976,0.05818739570020685
rmsd,-1.0537429797616877,80.8472701189951,-0.34955918182124873,-1.078258091656604,-0.9692898108881742
lddt,0.024802152952847413,-0.34955918182124873,0.028351132896629338,0.02425687133816535,0.026031256150870992
tm_score,0.049552135652819976,-1.078258091656604,0.02425687133816535,0.046469603331157475,0.046808436241525
oligo_gdtha,0.05818739570020685,-0.9692898108881742,0.026031256150870992,0.046808436241525,0.060174667938921296
