,oligo_gdtha,tm_score,oligo_gdtts,rmsd,lddt
oligo_gdtha,0.00950739055147173,0.01304239337443729,0.013405323467400405,-0.43904876338337434,0.008017134266520527
tm_score,0.01304239337443729,0.018048284712440403,0.018470169682720815,-0.6119272210847034,0.011050734575657783
oligo_gdtts,0.013405323467400405,0.018470169682720815,0.018987363638487815,-0.6238924630409828,0.011349398260817215
rmsd,-0.43904876338337434,-0.6119272210847034,-0.6238924630409828,21.330473689445036,-0.3767544815104016
lddt,0.008017134266520527,0.011050734575657783,0.011349398260817215,-0.3767544815104016,0.0070237745945971805
