,tm_score,rmsd,lddt,ics,qs_best,oligo_gdtts,dockq_wave,qs_global,ilddt,ips,oligo_gdtha,dockq_ave
tm_score,0.0017844710966004622,-0.046102921170220995,4.962724871171686e-05,-0.0001466268995554328,-0.00031527932472227746,0.002408343399289926,0.0019392792611824146,-0.0003055400602388077,-7.105124924122104e-05,-0.0005348554785566037,0.0016367571207418854,0.0008161634241113993
rmsd,-0.046102921170220995,1.6509965620250016,-0.0008462145747125608,0.0030551024050745157,0.004200033632665629,-0.07210713835743465,-0.06005016099402861,0.00474858761797285,0.0020271949794937495,0.019089489755797957,-0.03938535876256767,-0.028070088393403147
lddt,4.962724871171686e-05,-0.0008462145747125608,0.0002351566930908389,0.0003014325465528599,0.0004211902884253987,1.0692235210418839e-05,7.223905914651276e-05,0.0003938000729994221,0.00029321252028372474,1.603937844114734e-05,5.0033405758185e-05,0.00010087269525957297
ics,-0.0001466268995554328,0.0030551024050745157,0.0003014325465528599,0.000969218902661583,0.0014005611038744041,-0.0003200224476113907,0.00011516558899270633,0.0013391292551686767,0.0004750336926264648,0.0004217256603724161,-0.0001379642498792518,0.0005337032355512769
qs_best,-0.00031527932472227746,0.004200033632665629,0.0004211902884253987,0.0014005611038744041,0.0025237811284743944,-0.0005867616783749179,0.0001897654096366365,0.002395647134105,0.0007565990365950783,0.0008228045155095848,-0.0003000187076348082,0.0009960525790684513
oligo_gdtts,0.002408343399289926,-0.07210713835743465,1.0692235210418839e-05,-0.0003200224476113907,-0.0005867616783749179,0.0036133805118664835,0.00282643030444149,-0.0005725118160232224,-0.0001764475145802241,-0.0009604692923187117,0.0022283985123133644,0.001100097539708884
dockq_wave,0.0019392792611824146,-0.06005016099402861,7.223905914651276e-05,0.00011516558899270633,0.0001897654096366365,0.00282643030444149,0.002504024277010565,0.00016556201611039688,7.398736572649857e-06,-0.00043280690272424045,0.0017769250792306311,0.0013779608890714678
qs_global,-0.0003055400602388077,0.00474858761797285,0.0003938000729994221,0.0013391292551686767,0.002395647134105,-0.0005725118160232224,0.00016556201611039688,0.002292745833324103,0.0007115735212071803,0.0007968336379683791,-0.00028525520902496535,0.0009351995556799711
ilddt,-7.105124924122104e-05,0.0020271949794937495,0.00029321252028372474,0.0004750336926264648,0.0007565990365950783,-0.0001764475145802241,7.398736572649857e-06,0.0007115735212071803,0.0004617459596334575,0.0001598228100309592,-6.039822446606701e-05,0.00019113772357678185
ips,-0.0005348554785566037,0.019089489755797957,1.603937844114734e-05,0.0004217256603724161,0.0008228045155095848,-0.0009604692923187117,-0.00043280690272424045,0.0007968336379683791,0.0001598228100309592,0.0013932759338217305,-0.00043616085191051793,0.0003516791396750642
oligo_gdtha,0.0016367571207418854,-0.03938535876256767,5.0033405758185e-05,-0.0001379642498792518,-0.0003000187076348082,0.0022283985123133644,0.0017769250792306311,-0.00028525520902496535,-6.039822446606701e-05,-0.00043616085191051793,0.0016361926837610901,0.0007530831365587704
dockq_ave,0.0008161634241113993,-0.028070088393403147,0.00010087269525957297,0.0005337032355512769,0.0009960525790684513,0.001100097539708884,0.0013779608890714678,0.0009351995556799711,0.00019113772357678185,0.0003516791396750642,0.0007530831365587704,0.0013062843909470577
