,oligo_gdtha,tm_score,lddt,rmsd,oligo_gdtts
oligo_gdtha,0.002422331440438535,0.0010751536303975245,0.0006777427939926375,-0.03531933147279875,0.0022372388216549653
tm_score,0.0010751536303975245,0.0006421801565445617,0.0005322294707650014,-0.0268013036322806,0.0010397106183209568
lddt,0.0006777427939926375,0.0005322294707650014,0.0006408656701110406,-0.028008594885372565,0.0006732553303918183
rmsd,-0.03531933147279875,-0.0268013036322806,-0.028008594885372565,1.4039826508946018,-0.03540675073191145
oligo_gdtts,0.0022372388216549653,0.0010397106183209568,0.0006732553303918183,-0.03540675073191145,0.0020951350555530497
